2055 documents , 1 concepts , 4913 context features (115193) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 10


map[]

===============  per type  ===============
0.08147443613204258   T=0,K=0:  84494 (0.046) ; 22209 (0.024) ; 85306 (0.020) ; 22100 (0.016) ;  (0.016) ; 90504 (0.013) ; 84234 (0.012) ; nlsj2087 (0.012) ; 61791 (0.011) ; 47007 (0.010) ; 
0.09289655302027919   T=2,K=6:  84494 (0.032) ; 45996 (0.030) ; 84422 (0.029) ; 84234 (0.015) ; 19546 (0.012) ; 26447 (0.012) ; 85306 (0.012) ;  (0.011) ; 115193 (0.011) ; 61791 (0.009) ; 
0.11009030526560144   T=2,K=7:   (0.035) ; 52571 (0.023) ; 84494 (0.022) ; 45996 (0.021) ; 85306 (0.018) ; 72273 (0.014) ; 65552 (0.012) ; 75552 (0.011) ; 84422 (0.011) ; 116416 (0.009) ; 
0.13229256700519607   T=2,K=8:  84494 (0.067) ; 22209 (0.035) ; 45996 (0.024) ;  (0.012) ; 85306 (0.010) ; 43206 (0.009) ; 102832 (0.008) ; 115193 (0.008) ; 90504 (0.008) ; 84434 (0.008) ; 
0.08004674770150473   T=2,K=9:  84494 (0.039) ; 28569 (0.020) ; 84422 (0.017) ; 90504 (0.013) ;  (0.012) ; 85306 (0.011) ; 84234 (0.011) ; 75552 (0.011) ; 65552 (0.010) ; 104355 (0.010) ; 

Time=3  
0.10134016126935967   T=3,K=0:  84494 (0.049) ; 85306 (0.033) ; 22209 (0.019) ; 45996 (0.016) ; 11583 (0.013) ;  (0.013) ; 47007 (0.012) ; 52571 (0.009) ; 90504 (0.009) ; 65552 (0.009) ; 
0.0876425711008463   T=3,K=1:  84494 (0.031) ;  (0.020) ; 84234 (0.015) ; 11583 (0.014) ; 84422 (0.013) ; 85306 (0.013) ; 62204 (0.012) ; 19546 (0.011) ; 22209 (0.011) ; 45996 (0.010) ; 
0.0910056460074187   T=3,K=2:  85306 (0.042) ; 45996 (0.036) ; 84494 (0.032) ;  (0.026) ; 65552 (0.020) ; 19546 (0.018) ; 84234 (0.012) ; 22209 (0.011) ; 73064 (0.009) ; 90504 (0.009) ; 
0.09793931714187076   T=3,K=3:  85306 (0.048) ; 84494 (0.040) ; 45996 (0.032) ; 22209 (0.020) ;  (0.019) ; 84234 (0.016) ; 26447 (0.012) ; 19546 (0.011) ; 85736 (0.011) ; 84434 (0.010) ; 
0.07222670634648501   T=3,K=4:  84494 (0.045) ; 85306 (0.038) ; 45996 (0.023) ; 84234 (0.019) ;  (0.016) ; 65552 (0.011) ; 68641 (0.011) ; 22209 (0.010) ; 11583 (0.008) ; 104355 (0.008) ; 
0.11579095925590725   T=3,K=5:  85306 (0.047) ;  (0.030) ; 84494 (0.026) ; 11583 (0.025) ; 30809 (0.016) ; 22209 (0.015) ; 84234 (0.013) ; 65552 (0.013) ; 75552 (0.010) ; 45996 (0.009) ; 
0.10129743130328017   T=3,K=6:   (0.028) ; 84494 (0.025) ; 45996 (0.023) ; 84422 (0.017) ; 84234 (0.017) ; 19546 (0.016) ; 85306 (0.016) ; 61791 (0.012) ; 22209 (0.012) ; 26447 (0.010) ; 
0.11744215784612709   T=3,K=7:  45996 (0.035) ; 85306 (0.034) ;  (0.029) ; 84494 (0.024) ; 52571 (0.019) ; 75552 (0.015) ; 65552 (0.013) ; 84422 (0.011) ; 84234 (0.011) ; 48291 (0.010) ; 
0.10031548019087985   T=3,K=8:  84494 (0.054) ;  (0.029) ; 22209 (0.023) ; 85306 (0.016) ; 28569 (0.014) ; 45996 (0.014) ; 43206 (0.013) ; 52035 (0.009) ; 90504 (0.009) ; 102832 (0.008) ; 
0.11499956953782524   T=3,K=9:  84494 (0.044) ; 85306 (0.032) ; 28569 (0.021) ;  (0.020) ; 65552 (0.016) ; 84422 (0.014) ; 61791 (0.011) ; 26447 (0.011) ; 90504 (0.010) ; 85736 (0.009) ; 

Time=4  
0.09151220641322937   T=4,K=0:  85306 (0.036) ; 45996 (0.035) ; 84494 (0.028) ; 22209 (0.022) ;  (0.017) ; 61791 (0.010) ; 85736 (0.009) ; 65552 (0.009) ; 112720 (0.008) ; 115193 (0.008) ; 
0.09739813949881644   T=4,K=1:  84494 (0.015) ;  (0.014) ; 84234 (0.013) ; 11583 (0.010) ; 19546 (0.010) ; 45996 (0.009) ; 84422 (0.008) ; 33956 (0.007) ; 106974 (0.006) ; 22209 (0.006) ; 
0.09789532072936646   T=4,K=2:  84494 (0.038) ; 85306 (0.037) ; 65552 (0.026) ; 45996 (0.023) ; 84234 (0.022) ;  (0.021) ; 75552 (0.016) ; 22209 (0.012) ; 90504 (0.010) ; 85736 (0.009) ; 
0.11507147133691395   T=4,K=3:  85306 (0.053) ; 84494 (0.041) ; 45996 (0.022) ;  (0.021) ; 84234 (0.018) ; 22209 (0.017) ; 26447 (0.013) ; 65552 (0.009) ; 61791 (0.008) ; 19546 (0.008) ; 
0.08110358210464308   T=4,K=4:  84494 (0.080) ; 85306 (0.045) ; 68641 (0.017) ; 45996 (0.016) ;  (0.014) ; 84234 (0.012) ; 104355 (0.010) ; 65552 (0.008) ; 19346 (0.007) ; 66494 (0.007) ; 
0.11355100632817978   T=4,K=5:  85306 (0.044) ;  (0.019) ; 75552 (0.017) ; 90504 (0.010) ; 84494 (0.010) ; 1083 (0.010) ; 22209 (0.009) ; 65552 (0.009) ; 85953 (0.009) ; 84234 (0.009) ; 
0.0874812990621746   T=4,K=6:   (0.033) ; 45996 (0.032) ; 85306 (0.028) ; 22209 (0.026) ; 84494 (0.019) ; 61791 (0.019) ; 84234 (0.019) ; 19546 (0.014) ; 26447 (0.013) ; 27847 (0.009) ; 
0.1028150521960597   T=4,K=7:  85306 (0.057) ; 84494 (0.048) ;  (0.025) ; 84234 (0.019) ; 75552 (0.018) ; 45996 (0.014) ; 84422 (0.011) ; 22209 (0.011) ; 20621 (0.011) ; 48291 (0.009) ; 
0.09017675750226951   T=4,K=8:  22209 (0.042) ; 84494 (0.037) ;  (0.022) ; 45996 (0.021) ; 85306 (0.015) ; 43206 (0.012) ; 84422 (0.008) ; 90504 (0.008) ; 52035 (0.007) ; 116416 (0.007) ; 
0.12299516482834692   T=4,K=9:  84494 (0.045) ;  (0.037) ; 85306 (0.031) ; 11583 (0.015) ; 75552 (0.014) ; 84434 (0.013) ; 61791 (0.012) ; 26447 (0.011) ; 51647 (0.008) ; 85736 (0.008) ; 

Time=5  
0.08178944606428556   T=5,K=0:  85306 (0.034) ; 45996 (0.030) ; 22209 (0.020) ; 84494 (0.015) ;  (0.015) ; 112720 (0.012) ; 65552 (0.010) ; 61791 (0.009) ; 115193 (0.008) ; 90504 (0.007) ; 
0.09365048396249175   T=5,K=1:  11583 (0.012) ; 84494 (0.011) ; 19546 (0.010) ; 33956 (0.009) ; 15893 (0.008) ; 84422 (0.008) ; 45996 (0.008) ; 110598 (0.008) ; 84234 (0.008) ;  (0.007) ; 
0.1482613612158734   T=5,K=2:  45996 (0.025) ;  (0.020) ; 75552 (0.018) ; 65552 (0.016) ; 84494 (0.015) ; 85306 (0.015) ; 84234 (0.015) ; 22209 (0.013) ; 33819 (0.009) ; 90504 (0.009) ; 
0.08686518169101393   T=5,K=3:  85306 (0.025) ; 22209 (0.023) ; 84494 (0.022) ; 84234 (0.018) ; 45996 (0.012) ;  (0.010) ; 26447 (0.010) ; 49875 (0.008) ; 72254 (0.007) ; 84434 (0.007) ; 
0.09767111660315507   T=5,K=4:  85306 (0.048) ; 84494 (0.025) ; 68641 (0.023) ; 84234 (0.015) ; 104355 (0.014) ; 45996 (0.014) ;  (0.014) ; 65552 (0.009) ; 52332 (0.008) ; 11583 (0.008) ; 
0.08989430232402984   T=5,K=5:  85306 (0.025) ; 75552 (0.019) ; 90504 (0.013) ; 22209 (0.011) ; 1083 (0.010) ; 84494 (0.010) ; 85953 (0.010) ; 26447 (0.010) ;  (0.010) ; 97108 (0.009) ; 
0.09302153162172772   T=5,K=6:  22209 (0.038) ; 85306 (0.030) ; 45996 (0.024) ; 61791 (0.021) ;  (0.019) ; 84494 (0.018) ; 26447 (0.013) ; 84234 (0.011) ; 19546 (0.009) ; 62204 (0.009) ; 
0.1278670896314857   T=5,K=7:  84494 (0.043) ;  (0.026) ; 75552 (0.019) ; 84234 (0.018) ; 85306 (0.017) ; 20621 (0.012) ; 22209 (0.011) ; 48291 (0.010) ; 83774 (0.010) ; 11583 (0.009) ; 
0.08120227402148465   T=5,K=8:  22209 (0.026) ;  (0.025) ; 84494 (0.023) ; 45996 (0.019) ; 85306 (0.016) ; 84422 (0.011) ; 52035 (0.011) ; 43206 (0.008) ; 66294 (0.008) ; 48291 (0.008) ; 
0.09977721286445251   T=5,K=9:  84494 (0.034) ; 85306 (0.024) ;  (0.021) ; 75552 (0.017) ; 84434 (0.014) ; 11583 (0.012) ; 61791 (0.012) ; 26447 (0.010) ; 85736 (0.010) ; 65552 (0.009) ; 

Time=6  
0.12956466169558076   T=6,K=0:  85306 (0.032) ; 45996 (0.027) ; 22209 (0.027) ; 84494 (0.016) ; 112720 (0.014) ;  (0.013) ; 65552 (0.009) ; nlsj56179 (0.009) ; 61791 (0.008) ; 115193 (0.008) ; 
0.04010729143723687   T=6,K=1:  15893 (0.022) ; 45996 (0.011) ; 19546 (0.011) ; 84422 (0.009) ; 33956 (0.008) ; 84234 (0.007) ; 110598 (0.007) ; 84494 (0.006) ; 72273 (0.006) ; 34522 (0.005) ; 
0.22489051688021153   T=6,K=2:   (0.030) ; 45996 (0.029) ; 75552 (0.018) ; 84234 (0.013) ; 65552 (0.013) ; 22209 (0.012) ; 85306 (0.011) ; 84422 (0.011) ; 85736 (0.010) ; 90504 (0.010) ; 
0.059260175688970976   T=6,K=3:  84234 (0.030) ; 22209 (0.027) ; 85306 (0.022) ; 84494 (0.018) ;  (0.016) ; 45996 (0.012) ; 26447 (0.011) ; nlsj100912 (0.009) ; 66294 (0.008) ; 84434 (0.008) ; 
0.08287076739671338   T=6,K=4:  85306 (0.034) ; 84494 (0.028) ; 84234 (0.021) ; 45996 (0.018) ; 68641 (0.015) ;  (0.011) ; 4509 (0.009) ; 65552 (0.009) ; 19346 (0.008) ; 20621 (0.008) ; 
0.08320226101966458   T=6,K=5:  85306 (0.053) ; 75552 (0.019) ; 26447 (0.012) ; 1083 (0.011) ;  (0.011) ; 84410 (0.009) ; 90504 (0.009) ; 85953 (0.009) ; 56004 (0.009) ; 97108 (0.008) ; 
0.1745768713526673   T=6,K=6:  22209 (0.040) ; 45996 (0.026) ; 61791 (0.022) ; 85306 (0.019) ; 84234 (0.017) ; 26447 (0.017) ; 84494 (0.015) ; 19546 (0.011) ;  (0.010) ; 83665 (0.007) ; 
0.05337970121703857   T=6,K=7:  84494 (0.037) ; 84234 (0.024) ; 85306 (0.022) ; 48291 (0.021) ;  (0.021) ; 75552 (0.018) ; 83774 (0.010) ; 22209 (0.009) ; 115193 (0.009) ; 28566 (0.009) ; 
0.0746770166388414   T=6,K=8:  84494 (0.035) ; 22209 (0.034) ; 45996 (0.023) ;  (0.023) ; 85306 (0.022) ; 84422 (0.012) ; 52035 (0.010) ; 85953 (0.009) ; 65552 (0.009) ; 48291 (0.009) ; 
0.0774707366730747   T=6,K=9:  84494 (0.037) ; 85306 (0.024) ;  (0.022) ; 75552 (0.014) ; 84422 (0.014) ; 26447 (0.013) ; 61791 (0.010) ; 65552 (0.009) ; 11583 (0.009) ; 104355 (0.008) ; 



-----------------------
 kappa_c 4.000000 , kappa_f 10.000000
