####################################################################################################
#   σχῆμα (101851)                                                                                 #
####################################################################################################

σχῆμα:K0 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K11 ~ SG:Narrative                         0.000000  1.000000
φύσις: K11 ~ SG:Bucolic                                NaN       NaN
φύσις: K11 ~ SG:Epigrams                               NaN       NaN
φύσις: K11 ~ SG:Erotic                                 NaN       NaN
φύσις: K11 ~ SG:Psalms                                 NaN       NaN


φύσις:K12 ~ correlation with genres

                           Spearman's ρ         p
φύσις: K12 ~ G:Letters         0.570431  0.041779
φύσις: K12 ~ G:Essays          0.466720  0.107877
φύσις: K12 ~ G:Tragedy        -0.462910  0.111173
φύσις: K12 ~ G:Philosophy      0.334399  0.264103
φύσις: K12 ~ G:Comedy         -0.209657  0.491791
φύσις: K12 ~ G:Oratory         0.167248  0.584974
φύσις: K12 ~ G:Technical      -0.129995  0.672090
φύσις: K12 ~ G:Poetry          0.103553  0.736380
φύσις: K12 ~ G:Religion        0.100415  0.744125
φύσις: K12 ~ G:Narrative      -0.005652  0.985380


φύσις:K12 ~ correlation with subgenres

                                              Spearman's ρ         p
φύσις: K12 ~ SG:Art History                       0.620235  0.023725
φύσις: K12 ~ SG:Letters                           0.570431  0.041779
φύσις: K12 ~ SG:Natural History                   0.462910  0.111173
φύσις: K12 ~ SG:Miscellanea                       0.462910  0.111173
φύσις: K12 ~ SG:Tragedy                          -0.462910  0.111173
φύσις: K12 ~ SG:Choral                           -0.462910  0.111173
φύσις: K12 ~ SG:Essay                             0.404073  0.170885
φύσις: K12 ~ SG:Church history                    0.385758  0.192978
φύσις: K12 ~ SG:Homily                            0.385758  0.192978
φύσις: K12 ~ SG:Medicine                         -0.356693  0.231561
φύσις: K12 ~ SG:Biography                         0.342259  0.252338
φύσις: K12 ~ SG:Philosophy                        0.334399  0.264103
φύσις: K12 ~ SG:Narrative                         0.308607  0.304937
φύσις: K12 ~ SG:Politics                          0.231455  0.446742
φύσις: K12 ~ SG:Mythology                        -0.231455  0.446742
φύσις: K12 ~ SG:Mathematics                      -0.231455  0.446742
φύσις: K12 ~ SG:Novel                            -0.231455  0.446742
φύσις: K12 ~ SG:Science                           0.231455  0.446742
φύσις: K12 ~ SG:Horsemanship                      0.231455  0.446742
φύσις: K12 ~ SG:Grammar                          -0.231455  0.446742
φύσις: K12 ~ SG:Protreptics                      -0.231455  0.446742
φύσις: K12 ~ SG:Geography                        -0.218393  0.473492
φύσις: K12 ~ SG:History                          -0.210947  0.489067
φύσις: K12 ~ SG:Didactic                          0.209657  0.491791
φύσις: K12 ~ SG:Comedy                           -0.209657  0.491791
φύσις: K12 ~ SG:Epic                              0.170941  0.576591
φύσις: K12 ~ SG:Oratory                           0.167248  0.584974
φύσις: K12 ~ SG:Theology                         -0.157243  0.607929
φύσις: K12 ~ SG:Rhetoric, poetics, criticism      0.144088  0.638617
φύσις: K12 ~ SG:Military                         -0.061150  0.842695
φύσις: K12 ~ SG:Hunting                           0.026207  0.932275
φύσις: K12 ~ SG:Hymns                             0.017471  0.954824
φύσις: K12 ~ SG:Bucolic                                NaN       NaN
φύσις: K12 ~ SG:Epigrams                               NaN       NaN
φύσις: K12 ~ SG:Erotic                                 NaN       NaN
φύσις: K12 ~ SG:Psalms                                 NaN       NaN


φύσις:K13 ~ correlation with genres

                           Spearman's ρ         p
φύσις: K13 ~ G:Letters        -0.637541  0.019074
φύσις: K13 ~ G:Tragedy         0.462910  0.111173
φύσις: K13 ~ G:Essays         -0.407206  0.167277
φύσις: K13 ~ G:Philosophy     -0.278666  0.356551
φύσις: K13 ~ G:Religion       -0.235347  0.438917
φύσις: K13 ~ G:Comedy          0.209657  0.491791
φύσις: K13 ~ G:Poetry          0.200829  0.510606
φύσις: K13 ~ G:Oratory        -0.173222  0.571438
φύσις: K13 ~ G:Narrative      -0.163907  0.592601
φύσις: K13 ~ G:Technical       0.050868  0.868920


φύσις:K13 ~ correlation with subgenres

                                              Spearman's ρ         p
φύσις: K13 ~ SG:Letters                          -0.637541  0.019074
φύσις: K13 ~ SG:Art History                      -0.515407  0.071441
φύσις: K13 ~ SG:Narrative                        -0.462910  0.111173
φύσις: K13 ~ SG:Tragedy                           0.462910  0.111173
φύσις: K13 ~ SG:Choral                            0.462910  0.111173
φύσις: K13 ~ SG:Homily                           -0.385758  0.192978
φύσις: K13 ~ SG:Church history                   -0.385758  0.192978
φύσις: K13 ~ SG:Essay                            -0.375882  0.205601
φύσις: K13 ~ SG:Miscellanea                      -0.308607  0.304937
φύσις: K13 ~ SG:Natural History                  -0.308607  0.304937
φύσις: K13 ~ SG:Medicine                          0.308390  0.305294
φύσις: K13 ~ SG:Philosophy                       -0.278666  0.356551
φύσις: K13 ~ SG:Rhetoric, poetics, criticism     -0.275647  0.362002
φύσις: K13 ~ SG:Biography                        -0.268438  0.375196
φύσις: K13 ~ SG:Politics                         -0.231455  0.446742
φύσις: K13 ~ SG:Horsemanship                     -0.231455  0.446742
φύσις: K13 ~ SG:Science                          -0.231455  0.446742
φύσις: K13 ~ SG:Comedy                            0.209657  0.491791
φύσις: K13 ~ SG:Oratory                          -0.173222  0.571438
φύσις: K13 ~ SG:Geography                         0.165978  0.587869
φύσις: K13 ~ SG:Protreptics                       0.154303  0.614737
φύσις: K13 ~ SG:Novel                             0.154303  0.614737
φύσις: K13 ~ SG:Mathematics                       0.154303  0.614737
φύσις: K13 ~ SG:Mythology                         0.154303  0.614737
φύσις: K13 ~ SG:Grammar                           0.154303  0.614737
φύσις: K13 ~ SG:Didactic                         -0.139771  0.648806
φύσις: K13 ~ SG:Epic                              0.113961  0.710861
φύσις: K13 ~ SG:Theology                          0.104828  0.733238
φύσις: K13 ~ SG:Hunting                          -0.078621  0.798488
φύσις: K13 ~ SG:Military                          0.061150  0.842695
φύσις: K13 ~ SG:History                           0.028897  0.925340
φύσις: K13 ~ SG:Hymns                            -0.017471  0.954824
φύσις: K13 ~ SG:Bucolic                                NaN       NaN
φύσις: K13 ~ SG:Epigrams                               NaN       NaN
φύσις: K13 ~ SG:Erotic                                 NaN       NaN
φύσις: K13 ~ SG:Psalms                                 NaN       NaN


φύσις:K14 ~ correlation with genres

                           Spearman's ρ         p
φύσις: K14 ~ G:Essays         -0.466720  0.107877
φύσις: K14 ~ G:Tragedy         0.462910  0.111173
φύσις: K14 ~ G:Comedy          0.419314  0.153791
φύσις: K14 ~ G:Poetry         -0.411073  0.162890
φύσις: K14 ~ G:Oratory        -0.310604  0.301654
φύσις: K14 ~ G:Technical       0.293903  0.329727
φύσις: K14 ~ G:Religion       -0.276140  0.361108
φύσις: K14 ~ G:Letters        -0.261727  0.387703
φύσις: K14 ~ G:Narrative       0.231731  0.446185
φύσις: K14 ~ G:Philosophy     -0.163484  0.593570


φύσις:K14 ~ correlation with subgenres

                                              Spearman's ρ         p
φύσις: K14 ~ SG:Epic                             -0.512823  0.073121
φύσις: K14 ~ SG:Essay                            -0.498044  0.083259
φύσις: K14 ~ SG:Art History                      -0.471728  0.103646
φύσις: K14 ~ SG:Homily                           -0.462910  0.111173
φύσις: K14 ~ SG:Tragedy                           0.462910  0.111173
φύσις: K14 ~ SG:Church history                   -0.462910  0.111173
φύσις: K14 ~ SG:Choral                            0.462910  0.111173
φύσις: K14 ~ SG:History                           0.421895  0.151011
φύσις: K14 ~ SG:Comedy                            0.419314  0.153791
φύσις: K14 ~ SG:Oratory                          -0.310604  0.301654
φύσις: K14 ~ SG:Rhetoric, poetics, criticism      0.303838  0.312858
φύσις: K14 ~ SG:Didactic                         -0.279543  0.354977
φύσις: K14 ~ SG:Letters                          -0.261727  0.387703
φύσις: K14 ~ SG:Protreptics                      -0.231455  0.446742
φύσις: K14 ~ SG:Novel                            -0.231455  0.446742
φύσις: K14 ~ SG:Mythology                        -0.231455  0.446742
φύσις: K14 ~ SG:Mathematics                      -0.231455  0.446742
φύσις: K14 ~ SG:Grammar                          -0.231455  0.446742
φύσις: K14 ~ SG:Medicine                          0.230364  0.448947
φύσις: K14 ~ SG:Theology                         -0.218393  0.473492
φύσις: K14 ~ SG:Biography                        -0.214751  0.481082
φύσις: K14 ~ SG:Hymns                            -0.192186  0.529335
φύσις: K14 ~ SG:Military                          0.192186  0.529335
φύσις: K14 ~ SG:Philosophy                       -0.163484  0.593570
φύσις: K14 ~ SG:Miscellanea                      -0.154303  0.614737
φύσις: K14 ~ SG:Natural History                  -0.154303  0.614737
φύσις: K14 ~ SG:Hunting                          -0.096093  0.754828
φύσις: K14 ~ SG:Geography                         0.087357  0.776582
φύσις: K14 ~ SG:Horsemanship                      0.077152  0.802187
φύσις: K14 ~ SG:Politics                          0.077152  0.802187
φύσις: K14 ~ SG:Science                           0.077152  0.802187
φύσις: K14 ~ SG:Narrative                         0.000000  1.000000
φύσις: K14 ~ SG:Bucolic                                NaN       NaN
φύσις: K14 ~ SG:Epigrams                               NaN       NaN
φύσις: K14 ~ SG:Erotic                                 NaN       NaN
φύσις: K14 ~ SG:Psalms                                 NaN       NaN


φύσις:K2 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K2 ~ G:Essays          0.610808  0.026586
φύσις: K2 ~ G:Oratory         0.561477  0.045856
φύσις: K2 ~ G:Philosophy      0.475590  0.100461
φύσις: K2 ~ G:Poetry          0.354589  0.234521
φύσις: K2 ~ G:Letters         0.315415  0.293829
φύσις: K2 ~ G:Technical       0.310859  0.301237
φύσις: K2 ~ G:Narrative       0.141299  0.645193
φύσις: K2 ~ G:Religion       -0.106691  0.728659
φύσις: K2 ~ G:Tragedy        -0.077152  0.802187
φύσις: K2 ~ G:Comedy          0.043679  0.887331


φύσις:K2 ~ correlation with subgenres

                                             Spearman's ρ         p
φύσις: K2 ~ SG:Essay                             0.592014  0.033038
φύσις: K2 ~ SG:Oratory                           0.561477  0.045856
φύσις: K2 ~ SG:Art History                       0.506671  0.077230
φύσις: K2 ~ SG:Biography                         0.496611  0.084291
φύσις: K2 ~ SG:Philosophy                        0.475590  0.100461
φύσις: K2 ~ SG:Didactic                          0.462992  0.111101
φύσις: K2 ~ SG:Natural History                   0.385758  0.192978
φύσις: K2 ~ SG:Miscellanea                       0.385758  0.192978
φύσις: K2 ~ SG:Letters                           0.315415  0.293829
φύσις: K2 ~ SG:Church history                    0.308607  0.304937
φύσις: K2 ~ SG:Homily                            0.308607  0.304937
φύσις: K2 ~ SG:Hunting                           0.279543  0.354977
φύσις: K2 ~ SG:Protreptics                       0.231455  0.446742
φύσις: K2 ~ SG:Novel                             0.231455  0.446742
φύσις: K2 ~ SG:Mythology                         0.231455  0.446742
φύσις: K2 ~ SG:Mathematics                       0.231455  0.446742
φύσις: K2 ~ SG:Grammar                           0.231455  0.446742
φύσις: K2 ~ SG:Theology                          0.218393  0.473492
φύσις: K2 ~ SG:Medicine                          0.170915  0.576649
φύσις: K2 ~ SG:Hymns                            -0.157243  0.607929
φύσις: K2 ~ SG:Geography                         0.157243  0.607929
φύσις: K2 ~ SG:Horsemanship                      0.154303  0.614737
φύσις: K2 ~ SG:Narrative                        -0.154303  0.614737
φύσις: K2 ~ SG:Politics                          0.154303  0.614737
φύσις: K2 ~ SG:Science                           0.154303  0.614737
φύσις: K2 ~ SG:Epic                              0.113961  0.710861
φύσις: K2 ~ SG:Choral                           -0.077152  0.802187
φύσις: K2 ~ SG:Tragedy                          -0.077152  0.802187
φύσις: K2 ~ SG:Military                          0.052414  0.864967
φύσις: K2 ~ SG:Comedy                            0.043679  0.887331
φύσις: K2 ~ SG:Rhetoric, poetics, criticism      0.021926  0.943319
φύσις: K2 ~ SG:History                           0.008669  0.977577
φύσις: K2 ~ SG:Bucolic                                NaN       NaN
φύσις: K2 ~ SG:Epigrams                               NaN       NaN
φύσις: K2 ~ SG:Erotic                                 NaN       NaN
φύσις: K2 ~ SG:Psalms                                 NaN       NaN


φύσις:K3 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K3 ~ G:Letters        -0.449634  0.123187
φύσις: K3 ~ G:Essays         -0.209867  0.491346
φύσις: K3 ~ G:Religion        0.194553  0.524175
φύσις: K3 ~ G:Poetry         -0.169450  0.579971
φύσις: K3 ~ G:Tragedy        -0.154303  0.614737
φύσις: K3 ~ G:Technical       0.152603  0.618688
φύσις: K3 ~ G:Philosophy      0.137475  0.654249
φύσις: K3 ~ G:Oratory        -0.101544  0.741336
φύσις: K3 ~ G:Comedy          0.034943  0.909772
φύσις: K3 ~ G:Narrative      -0.005652  0.985380


φύσις:K3 ~ correlation with subgenres

                                             Spearman's ρ         p
φύσις: K3 ~ SG:Art History                      -0.576557  0.039146
φύσις: K3 ~ SG:Geography                         0.576557  0.039146
φύσις: K3 ~ SG:Church history                   -0.462910  0.111173
φύσις: K3 ~ SG:Homily                           -0.462910  0.111173
φύσις: K3 ~ SG:Letters                          -0.449634  0.123187
φύσις: K3 ~ SG:Hunting                           0.393107  0.183909
φύσις: K3 ~ SG:Narrative                         0.385758  0.192978
φύσις: K3 ~ SG:Military                          0.366900  0.217516
φύσις: K3 ~ SG:Protreptics                       0.308607  0.304937
φύσις: K3 ~ SG:Novel                             0.308607  0.304937
φύσις: K3 ~ SG:Natural History                  -0.308607  0.304937
φύσις: K3 ~ SG:Mythology                         0.308607  0.304937
φύσις: K3 ~ SG:Miscellanea                      -0.308607  0.304937
φύσις: K3 ~ SG:Mathematics                       0.308607  0.304937
φύσις: K3 ~ SG:Grammar                           0.308607  0.304937
φύσις: K3 ~ SG:Rhetoric, poetics, criticism      0.281912  0.350742
φύσις: K3 ~ SG:Hymns                            -0.253336  0.403644
φύσις: K3 ~ SG:Politics                          0.231455  0.446742
φύσις: K3 ~ SG:Science                           0.231455  0.446742
φύσις: K3 ~ SG:Horsemanship                      0.231455  0.446742
φύσις: K3 ~ SG:Theology                          0.209657  0.491791
φύσις: K3 ~ SG:Medicine                          0.204355  0.503053
φύσις: K3 ~ SG:History                           0.202278  0.507496
φύσις: K3 ~ SG:Essay                            -0.172279  0.573565
φύσις: K3 ~ SG:Choral                           -0.154303  0.614737
φύσις: K3 ~ SG:Tragedy                          -0.154303  0.614737
φύσις: K3 ~ SG:Philosophy                        0.137475  0.654249
φύσις: K3 ~ SG:Oratory                          -0.101544  0.741336
φύσις: K3 ~ SG:Epic                             -0.056980  0.853313
φύσις: K3 ~ SG:Biography                         0.040266  0.896089
φύσις: K3 ~ SG:Didactic                         -0.034943  0.909772
φύσις: K3 ~ SG:Comedy                            0.034943  0.909772
φύσις: K3 ~ SG:Bucolic                                NaN       NaN
φύσις: K3 ~ SG:Epigrams                               NaN       NaN
φύσις: K3 ~ SG:Erotic                                 NaN       NaN
φύσις: K3 ~ SG:Psalms                                 NaN       NaN


φύσις:K4 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K4 ~ G:Narrative      -0.774320  0.001888
φύσις: K4 ~ G:Technical      -0.559545  0.046771
φύσις: K4 ~ G:Essays         -0.244323  0.421130
φύσις: K4 ~ G:Oratory        -0.209061  0.493052
φύσις: K4 ~ G:Tragedy        -0.154303  0.614737
φύσις: K4 ~ G:Religion        0.150622  0.623304
φύσις: K4 ~ G:Letters         0.026844  0.930633
φύσις: K4 ~ G:Comedy         -0.017471  0.954824
φύσις: K4 ~ G:Philosophy     -0.011147  0.971170
φύσις: K4 ~ G:Poetry         -0.003138  0.991883


φύσις:K4 ~ correlation with subgenres

                                             Spearman's ρ         p
φύσις: K4 ~ SG:History                          -0.843790  0.000288
φύσις: K4 ~ SG:Rhetoric, poetics, criticism     -0.573220  0.040565
φύσις: K4 ~ SG:Military                         -0.559085  0.046991
φύσις: K4 ~ SG:Theology                         -0.524142  0.065963
φύσις: K4 ~ SG:Hymns                             0.462992  0.111101
φύσις: K4 ~ SG:Geography                        -0.401843  0.173485
φύσις: K4 ~ SG:Biography                        -0.301993  0.315953
φύσις: K4 ~ SG:Essay                            -0.244323  0.421130
φύσις: K4 ~ SG:Mathematics                      -0.231455  0.446742
φύσις: K4 ~ SG:Church history                    0.231455  0.446742
φύσις: K4 ~ SG:Protreptics                      -0.231455  0.446742
φύσις: K4 ~ SG:Grammar                          -0.231455  0.446742
φύσις: K4 ~ SG:Homily                            0.231455  0.446742
φύσις: K4 ~ SG:Novel                            -0.231455  0.446742
φύσις: K4 ~ SG:Mythology                        -0.231455  0.446742
φύσις: K4 ~ SG:Oratory                          -0.209061  0.493052
φύσις: K4 ~ SG:Art History                       0.183450  0.548560
φύσις: K4 ~ SG:Medicine                         -0.174631  0.568263
φύσις: K4 ~ SG:Epic                              0.170941  0.576591
φύσις: K4 ~ SG:Didactic                         -0.157243  0.607929
φύσις: K4 ~ SG:Horsemanship                      0.154303  0.614737
φύσις: K4 ~ SG:Politics                          0.154303  0.614737
φύσις: K4 ~ SG:Science                           0.154303  0.614737
φύσις: K4 ~ SG:Choral                           -0.154303  0.614737
φύσις: K4 ~ SG:Tragedy                          -0.154303  0.614737
φύσις: K4 ~ SG:Narrative                         0.077152  0.802187
φύσις: K4 ~ SG:Hunting                          -0.034943  0.909772
φύσις: K4 ~ SG:Letters                           0.026844  0.930633
φύσις: K4 ~ SG:Comedy                           -0.017471  0.954824
φύσις: K4 ~ SG:Philosophy                       -0.011147  0.971170
φύσις: K4 ~ SG:Miscellanea                       0.000000  1.000000
φύσις: K4 ~ SG:Natural History                   0.000000  1.000000
φύσις: K4 ~ SG:Bucolic                                NaN       NaN
φύσις: K4 ~ SG:Epigrams                               NaN       NaN
φύσις: K4 ~ SG:Erotic                                 NaN       NaN
φύσις: K4 ~ SG:Psalms                                 NaN       NaN


φύσις:K5 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K5 ~ G:Religion        0.655833  0.014935
φύσις: K5 ~ G:Comedy         -0.524142  0.065963
φύσις: K5 ~ G:Technical      -0.491722  0.087879
φύσις: K5 ~ G:Tragedy        -0.462910  0.111173
φύσις: K5 ~ G:Narrative      -0.412594  0.161185
φύσις: K5 ~ G:Poetry         -0.313796  0.296449
φύσις: K5 ~ G:Philosophy     -0.278666  0.356551
φύσις: K5 ~ G:Letters        -0.154352  0.614624
φύσις: K5 ~ G:Oratory        -0.137383  0.654469
φύσις: K5 ~ G:Essays         -0.093971  0.760098


φύσις:K5 ~ correlation with subgenres

                                             Spearman's ρ         p
φύσις: K5 ~ SG:Hymns                             0.576557  0.039146
φύσις: K5 ~ SG:Comedy                           -0.524142  0.065963
φύσις: K5 ~ SG:History                          -0.514365  0.072115
φύσις: K5 ~ SG:Tragedy                          -0.462910  0.111173
φύσις: K5 ~ SG:Choral                           -0.462910  0.111173
φύσις: K5 ~ SG:Rhetoric, poetics, criticism     -0.363353  0.222336
φύσις: K5 ~ SG:Medicine                         -0.360408  0.226386
φύσις: K5 ~ SG:Biography                        -0.315415  0.293829
φύσις: K5 ~ SG:Church history                    0.308607  0.304937
φύσις: K5 ~ SG:Homily                            0.308607  0.304937
φύσις: K5 ~ SG:Natural History                  -0.308607  0.304937
φύσις: K5 ~ SG:Miscellanea                      -0.308607  0.304937
φύσις: K5 ~ SG:Philosophy                       -0.278666  0.356551
φύσις: K5 ~ SG:Science                          -0.231455  0.446742
φύσις: K5 ~ SG:Politics                         -0.231455  0.446742
φύσις: K5 ~ SG:Narrative                         0.231455  0.446742
φύσις: K5 ~ SG:Horsemanship                     -0.231455  0.446742
φύσις: K5 ~ SG:Letters                          -0.154352  0.614624
φύσις: K5 ~ SG:Protreptics                       0.154303  0.614737
φύσις: K5 ~ SG:Novel                             0.154303  0.614737
φύσις: K5 ~ SG:Mathematics                       0.154303  0.614737
φύσις: K5 ~ SG:Mythology                         0.154303  0.614737
φύσις: K5 ~ SG:Grammar                           0.154303  0.614737
φύσις: K5 ~ SG:Didactic                         -0.139771  0.648806
φύσις: K5 ~ SG:Oratory                          -0.137383  0.654469
φύσις: K5 ~ SG:Geography                         0.104828  0.733238
φύσις: K5 ~ SG:Hunting                          -0.078621  0.798488
φύσις: K5 ~ SG:Military                         -0.052414  0.864967
φύσις: K5 ~ SG:Theology                          0.043679  0.887331
φύσις: K5 ~ SG:Art History                       0.034943  0.909772
φύσις: K5 ~ SG:Essay                            -0.006265  0.983795
φύσις: K5 ~ SG:Epic                              0.000000  1.000000
φύσις: K5 ~ SG:Bucolic                                NaN       NaN
φύσις: K5 ~ SG:Epigrams                               NaN       NaN
φύσις: K5 ~ SG:Erotic                                 NaN       NaN
φύσις: K5 ~ SG:Psalms                                 NaN       NaN


φύσις:K6 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K6 ~ G:Narrative      -0.717801  0.005730
φύσις: K6 ~ G:Technical      -0.712149  0.006314
φύσις: K6 ~ G:Philosophy     -0.364124  0.221283
φύσις: K6 ~ G:Religion        0.288692  0.338771
φύσις: K6 ~ G:Letters        -0.261727  0.387703
φύσις: K6 ~ G:Tragedy        -0.154303  0.614737
φύσις: K6 ~ G:Comedy         -0.122300  0.690610
φύσις: K6 ~ G:Essays         -0.122162  0.690944
φύσις: K6 ~ G:Oratory        -0.113490  0.712009
φύσις: K6 ~ G:Poetry          0.043931  0.886682


φύσις:K6 ~ correlation with subgenres

                                             Spearman's ρ         p
φύσις: K6 ~ SG:History                          -0.794665  0.001172
φύσις: K6 ~ SG:Rhetoric, poetics, criticism     -0.601411  0.029684
φύσις: K6 ~ SG:Hymns                             0.515407  0.071441
φύσις: K6 ~ SG:Didactic                         -0.462992  0.111101
φύσις: K6 ~ SG:Epic                              0.455842  0.117466
φύσις: K6 ~ SG:Geography                        -0.401843  0.173485
φύσις: K6 ~ SG:Miscellanea                      -0.385758  0.192978
φύσις: K6 ~ SG:Natural History                  -0.385758  0.192978
φύσις: K6 ~ SG:Philosophy                       -0.364124  0.221283
φύσις: K6 ~ SG:Biography                        -0.322126  0.283110
φύσις: K6 ~ SG:Church history                    0.308607  0.304937
φύσις: K6 ~ SG:Homily                            0.308607  0.304937
φύσις: K6 ~ SG:Letters                          -0.261727  0.387703
φύσις: K6 ~ SG:Medicine                         -0.256373  0.397836
φύσις: K6 ~ SG:Mathematics                      -0.231455  0.446742
φύσις: K6 ~ SG:Novel                            -0.231455  0.446742
φύσις: K6 ~ SG:Grammar                          -0.231455  0.446742
φύσις: K6 ~ SG:Protreptics                      -0.231455  0.446742
φύσις: K6 ~ SG:Mythology                        -0.231455  0.446742
φύσις: K6 ~ SG:Military                         -0.192186  0.529335
φύσις: K6 ~ SG:Hunting                          -0.157243  0.607929
φύσις: K6 ~ SG:Tragedy                          -0.154303  0.614737
φύσις: K6 ~ SG:Choral                           -0.154303  0.614737
φύσις: K6 ~ SG:Comedy                           -0.122300  0.690610
φύσις: K6 ~ SG:Oratory                          -0.113490  0.712009
φύσις: K6 ~ SG:Theology                         -0.096093  0.754828
φύσις: K6 ~ SG:Narrative                        -0.077152  0.802187
φύσις: K6 ~ SG:Essay                            -0.053250  0.862832
φύσις: K6 ~ SG:Art History                      -0.017471  0.954824
φύσις: K6 ~ SG:Horsemanship                      0.000000  1.000000
φύσις: K6 ~ SG:Politics                          0.000000  1.000000
φύσις: K6 ~ SG:Science                           0.000000  1.000000
φύσις: K6 ~ SG:Bucolic                                NaN       NaN
φύσις: K6 ~ SG:Epigrams                               NaN       NaN
φύσις: K6 ~ SG:Erotic                                 NaN       NaN
φύσις: K6 ~ SG:Psalms                                 NaN       NaN


φύσις:K7 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K7 ~ G:Comedy         -0.620235  0.023725
φύσις: K7 ~ G:Tragedy        -0.385758  0.192978
φύσις: K7 ~ G:Philosophy     -0.364124  0.221283
φύσις: K7 ~ G:Letters        -0.241594  0.426499
φύσις: K7 ~ G:Religion        0.219657  0.470870
φύσις: K7 ~ G:Oratory        -0.185168  0.544756
φύσις: K7 ~ G:Essays         -0.137823  0.653423
φύσις: K7 ~ G:Technical      -0.135647  0.658594
φύσις: K7 ~ G:Narrative       0.028260  0.926982
φύσις: K7 ~ G:Poetry          0.028242  0.927029


φύσις:K7 ~ correlation with subgenres

                                             Spearman's ρ         p
φύσις: K7 ~ SG:Comedy                           -0.620235  0.023725
φύσις: K7 ~ SG:Geography                         0.515407  0.071441
φύσις: K7 ~ SG:Science                          -0.462910  0.111173
φύσις: K7 ~ SG:Politics                         -0.462910  0.111173
φύσις: K7 ~ SG:Horsemanship                     -0.462910  0.111173
φύσις: K7 ~ SG:Tragedy                          -0.385758  0.192978
φύσις: K7 ~ SG:Choral                           -0.385758  0.192978
φύσις: K7 ~ SG:Philosophy                       -0.364124  0.221283
φύσις: K7 ~ SG:Medicine                         -0.330684  0.269776
φύσις: K7 ~ SG:Biography                        -0.322126  0.283110
φύσις: K7 ~ SG:Protreptics                       0.308607  0.304937
φύσις: K7 ~ SG:Novel                             0.308607  0.304937
φύσις: K7 ~ SG:Natural History                  -0.308607  0.304937
φύσις: K7 ~ SG:Mythology                         0.308607  0.304937
φύσις: K7 ~ SG:Miscellanea                      -0.308607  0.304937
φύσις: K7 ~ SG:Mathematics                       0.308607  0.304937
φύσις: K7 ~ SG:Grammar                           0.308607  0.304937
φύσις: K7 ~ SG:Military                          0.305750  0.309669
φύσις: K7 ~ SG:Hymns                             0.288278  0.339495
φύσις: K7 ~ SG:Epic                              0.284901  0.345435
φύσις: K7 ~ SG:Letters                          -0.241594  0.426499
φύσις: K7 ~ SG:Narrative                        -0.231455  0.446742
φύσις: K7 ~ SG:Theology                          0.209657  0.491791
φύσις: K7 ~ SG:Oratory                          -0.185168  0.544756
φύσις: K7 ~ SG:Hunting                          -0.157243  0.607929
φύσις: K7 ~ SG:Homily                            0.154303  0.614737
φύσις: K7 ~ SG:Church history                    0.154303  0.614737
φύσις: K7 ~ SG:Art History                      -0.087357  0.776582
φύσις: K7 ~ SG:Essay                            -0.050118  0.870838
φύσις: K7 ~ SG:Rhetoric, poetics, criticism     -0.043853  0.886884
φύσις: K7 ~ SG:Didactic                         -0.034943  0.909772
φύσις: K7 ~ SG:History                          -0.031787  0.917896
φύσις: K7 ~ SG:Bucolic                                NaN       NaN
φύσις: K7 ~ SG:Epigrams                               NaN       NaN
φύσις: K7 ~ SG:Erotic                                 NaN       NaN
φύσις: K7 ~ SG:Psalms                                 NaN       NaN


φύσις:K8 ~ correlation with genres

                          Spearman's ρ         p
φύσις: K8 ~ G:Essays          0.620205  0.023734
φύσις: K8 ~ G:Religion        0.514625  0.071946
φύσις: K8 ~ G:Oratory         0.376309  0.205045
φύσις: K8 ~ G:Letters         0.174485  0.568591
φύσις: K8 ~ G:Philosophy      0.104035  0.735191
φύσις: K8 ~ G:Technical      -0.056520  0.854487
φύσις: K8 ~ G:Poetry         -0.053345  0.862588
φύσις: K8 ~ G:Comedy         -0.052414  0.864967
φύσις: K8 ~ G:Narrative       0.028260  0.926982
φύσις: K8 ~ G:Tragedy         0.000000  1.000000


φύσις:K8 ~ correlation with subgenres

                                             Spearman's ρ         p
φύσις: K8 ~ SG:Essay                             0.570088  0.041931
φύσις: K8 ~ SG:Art History                       0.506671  0.077230
φύσις: K8 ~ SG:Biography                         0.442923  0.129577
φύσις: K8 ~ SG:Hymns                             0.393107  0.183909
φύσις: K8 ~ SG:Natural History                   0.385758  0.192978
φύσις: K8 ~ SG:Miscellanea                       0.385758  0.192978
φύσις: K8 ~ SG:Oratory                           0.376309  0.205045
φύσις: K8 ~ SG:Homily                            0.308607  0.304937
φύσις: K8 ~ SG:Church history                    0.308607  0.304937
φύσις: K8 ~ SG:Geography                        -0.288278  0.339495
φύσις: K8 ~ SG:Theology                          0.262071  0.387057
φύσις: K8 ~ SG:Epic                             -0.227921  0.453905
φύσις: K8 ~ SG:Didactic                          0.200921  0.510408
φύσις: K8 ~ SG:Letters                           0.174485  0.568591
