1443 documents , 1 concepts , 4228 context features (nlsj107632) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.13455367102049906   T=0,K=0:  22209 (0.034) ; 30885 (0.018) ; 74921 (0.018) ; 84234 (0.016) ; 100965 (0.016) ; 20097 (0.015) ; 57460 (0.015) ; 80043 (0.013) ;  (0.013) ; 67555 (0.012) ; 
0.055121869607964176   T=1,K=8:  84494 (0.029) ; 45996 (0.023) ; 22209 (0.021) ; 8665 (0.018) ;  (0.015) ; 260 (0.013) ; 1984 (0.012) ; 58429 (0.011) ; 63772 (0.011) ; 48383 (0.011) ; 
0.04938441054067827   T=2,K=8:  45996 (0.025) ; 8665 (0.023) ; 22209 (0.020) ;  (0.019) ; 84494 (0.014) ; 63772 (0.012) ; 20621 (0.010) ; 1984 (0.009) ; 260 (0.009) ; 80327 (0.009) ; 
0.21649103582002158   T=3,K=8:   (0.024) ; 63772 (0.017) ; 22209 (0.016) ; 8665 (0.016) ; 84494 (0.015) ; 80327 (0.014) ; 45996 (0.012) ; 90504 (0.012) ; 28566 (0.010) ; 58429 (0.009) ; 
0.11249460031982086   T=4,K=8:  22209 (0.018) ; 63772 (0.018) ; 8665 (0.016) ;  (0.016) ; 84494 (0.014) ; 90504 (0.014) ; 45996 (0.013) ; 20621 (0.011) ; 48383 (0.009) ; 58429 (0.009) ; 
0.09004807448686598   T=5,K=8:  45996 (0.016) ;  (0.015) ; 20621 (0.014) ; 84494 (0.013) ; 63772 (0.012) ; 8665 (0.010) ; 22209 (0.010) ; 49875 (0.010) ; 48383 (0.010) ; 47617 (0.009) ; 
0.06879060624284482   T=6,K=8:  48383 (0.019) ; 45996 (0.016) ; 22209 (0.015) ;  (0.014) ; 49875 (0.011) ; 20621 (0.011) ; 84494 (0.011) ; 63772 (0.010) ; 76703 (0.009) ; 72627 (0.008) ; 
0.08940487975398852   T=7,K=8:   (0.017) ; 22209 (0.013) ; 48383 (0.013) ; 45996 (0.009) ; 20621 (0.009) ; 49875 (0.009) ; 84494 (0.008) ; 63772 (0.008) ; 30790 (0.007) ; 76703 (0.007) ; 
0.12031854080058998   T=8,K=8:  22209 (0.014) ;  (0.012) ; 48383 (0.011) ; 49875 (0.009) ; 45996 (0.009) ; 63772 (0.009) ; 20621 (0.009) ; 30790 (0.008) ; 24436 (0.008) ; 46646 (0.008) ; 
0.14267229039967436   T=9,K=8:  22209 (0.019) ;  (0.015) ; 30790 (0.011) ; 63772 (0.011) ; 46646 (0.009) ; 19972 (0.009) ; 45996 (0.009) ; 48383 (0.008) ; 51647 (0.008) ; 8665 (0.007) ; 
0.05690474371293057   T=10,K=8:   (0.018) ; 22209 (0.014) ; 48383 (0.013) ; 63772 (0.013) ; 30790 (0.012) ; 8665 (0.010) ; 19972 (0.010) ; 90030 (0.008) ; 49875 (0.008) ; 48291 (0.008) ; 
0.141539646375397   T=11,K=8:  49875 (0.017) ; 22209 (0.015) ; 63772 (0.014) ; 30790 (0.012) ;  (0.011) ; 48021 (0.011) ; 19972 (0.011) ; 48383 (0.010) ; 68641 (0.008) ; 49817 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=8:  22209 (0.017) ;  (0.016) ; 45996 (0.013) ; 84494 (0.012) ; 63772 (0.012) ; 8665 (0.011) ; 48383 (0.011) ; 20621 (0.009) ; 49875 (0.008) ; 90504 (0.007) ; 

0.12822063478319481   T=0,K=9:  19972 (0.078) ; 48291 (0.028) ; 90504 (0.021) ; 31161 (0.020) ; 26447 (0.016) ; 27847 (0.014) ; nlsj11198 (0.012) ; 6616 (0.012) ; nlsj76838 (0.010) ; 43309 (0.010) ; 
0.11277329956320209   T=1,K=9:  19972 (0.087) ; 48291 (0.026) ; 6616 (0.022) ; 31161 (0.021) ; nlsj11198 (0.014) ; 90504 (0.013) ; nlsj76838 (0.013) ; 26447 (0.013) ; 43309 (0.012) ; 27847 (0.011) ; 
0.07457410118102237   T=2,K=9:  19972 (0.052) ; 31161 (0.028) ; 6616 (0.018) ; 48291 (0.016) ; 43309 (0.013) ; 26447 (0.012) ; 72610 (0.010) ; nlsj76838 (0.010) ; 61072 (0.010) ; 74735 (0.010) ; 
0.06454114578154174   T=3,K=9:  19972 (0.024) ; 48291 (0.019) ; 31161 (0.014) ; 74735 (0.013) ; nlsj11198 (0.011) ; 61072 (0.010) ; 26447 (0.010) ; 50257 (0.010) ; 84234 (0.009) ; 43309 (0.009) ; 
0.08939223893715442   T=4,K=9:  31161 (0.021) ; 19972 (0.017) ; 61072 (0.014) ; 48291 (0.014) ;  (0.014) ; 84234 (0.011) ; 26447 (0.010) ; 50257 (0.010) ; 90504 (0.009) ; 74735 (0.009) ; 
0.15919588194072998   T=5,K=9:  31161 (0.020) ; 19972 (0.019) ; 48291 (0.018) ;  (0.016) ; 61072 (0.015) ; 22209 (0.012) ; 26447 (0.011) ; 84234 (0.011) ; 90504 (0.010) ; 74735 (0.010) ; 
0.0906159271816534   T=6,K=9:  31161 (0.022) ; 84234 (0.014) ;  (0.012) ; 48291 (0.012) ; 61072 (0.012) ; 19972 (0.011) ; 22209 (0.011) ; 26447 (0.010) ; 46123 (0.009) ; 90504 (0.008) ; 
0.11609013962987264   T=7,K=9:   (0.017) ; 31161 (0.013) ; 90504 (0.012) ; 27847 (0.011) ; 48291 (0.011) ; 84234 (0.011) ; 19972 (0.010) ; 26447 (0.009) ; 61072 (0.009) ; 22209 (0.008) ; 
0.07250160581776266   T=8,K=9:  48291 (0.014) ; 90504 (0.012) ; 27847 (0.010) ;  (0.010) ; 80011 (0.009) ; 30809 (0.008) ; 19972 (0.008) ; 46123 (0.008) ; 84234 (0.007) ; 22209 (0.007) ; 
0.07869869623238274   T=9,K=9:  48291 (0.013) ; 90504 (0.011) ; 26447 (0.010) ; 27847 (0.009) ; 15399 (0.009) ; 19972 (0.009) ; 22209 (0.008) ; 109840 (0.007) ; 80011 (0.007) ; 46123 (0.007) ; 
0.05149233527960606   T=10,K=9:  48291 (0.016) ; 90504 (0.012) ; 114615 (0.010) ; 11072 (0.010) ; 27847 (0.010) ; 24293 (0.009) ; 45996 (0.009) ; 52332 (0.008) ; 15399 (0.008) ; 19972 (0.008) ; 
0.07805824363971152   T=11,K=9:  48291 (0.019) ; 114615 (0.016) ; 31161 (0.012) ; 90504 (0.011) ; 19972 (0.011) ; 45996 (0.010) ; 11072 (0.010) ; 50257 (0.009) ; 51241 (0.009) ; 27847 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=9:  19972 (0.028) ; 48291 (0.017) ; 31161 (0.016) ; 90504 (0.011) ; 26447 (0.010) ;  (0.010) ; 27847 (0.009) ; 6616 (0.008) ; 61072 (0.008) ; 84234 (0.008) ; 

===============  per time  ===============
Time=0  
0.13455367102049906   T=0,K=0:  22209 (0.034) ; 30885 (0.018) ; 74921 (0.018) ; 84234 (0.016) ; 100965 (0.016) ; 20097 (0.015) ; 57460 (0.015) ; 80043 (0.013) ;  (0.013) ; 67555 (0.012) ; 
0.013052132681902015   T=0,K=1:  45996 (0.038) ; 52048 (0.015) ; 86187 (0.013) ; 61791 (0.011) ; 71023 (0.011) ; 114548 (0.010) ; 47735 (0.009) ; 31161 (0.009) ; 68641 (0.008) ; 115193 (0.008) ; 
0.014135183436268411   T=0,K=2:  62204 (0.017) ;  (0.015) ; 30866 (0.013) ; 45996 (0.013) ; 22825 (0.013) ; 84234 (0.012) ; 20621 (0.012) ; 28566 (0.011) ; 19972 (0.011) ; 22502 (0.011) ; 
0.4585644578302942   T=0,K=3:  116416 (0.039) ; nlsj32160 (0.012) ; 84234 (0.012) ; nlsj96033 (0.012) ;  (0.011) ; 71308 (0.011) ; 72627 (0.010) ; 33751 (0.009) ; 45996 (0.009) ; 75595 (0.009) ; 
0.06424497536160068   T=0,K=4:  22209 (0.021) ; 85306 (0.017) ; nlsj76838 (0.017) ; 90504 (0.015) ; 260 (0.014) ; 89366 (0.011) ; nlsj65911 (0.010) ; 76910 (0.010) ;  (0.010) ; 106502 (0.009) ; 
0.005558687853886757   T=0,K=5:  22825 (0.035) ; 110639 (0.030) ; 86219 (0.027) ; 63772 (0.019) ; 51647 (0.017) ; 83928 (0.015) ; 42827 (0.015) ; 86112 (0.015) ; 44964 (0.014) ;  (0.012) ; 
0.1400455789824725   T=0,K=6:  84234 (0.052) ; 22209 (0.030) ; 72627 (0.013) ; 30569 (0.013) ; 8909 (0.012) ; 114615 (0.010) ;  (0.010) ; 88973 (0.010) ; 46123 (0.009) ; 57881 (0.009) ; 
0.019009252107421094   T=0,K=7:  86112 (0.041) ; 85306 (0.029) ; 22209 (0.020) ; 75552 (0.018) ; 84234 (0.017) ; 114624 (0.015) ; 84494 (0.015) ; 110639 (0.015) ; 31236 (0.013) ; 15893 (0.011) ; 
0.022615425942460535   T=0,K=8:  84494 (0.027) ; 22209 (0.025) ;  (0.020) ; 45996 (0.018) ; 20621 (0.017) ; 260 (0.016) ; 8665 (0.012) ; 76742 (0.011) ; 58429 (0.010) ; 48383 (0.009) ; 
0.12822063478319481   T=0,K=9:  19972 (0.078) ; 48291 (0.028) ; 90504 (0.021) ; 31161 (0.020) ; 26447 (0.016) ; 27847 (0.014) ; nlsj11198 (0.012) ; 6616 (0.012) ; nlsj76838 (0.010) ; 43309 (0.010) ; 

Time=1  
0.05384236152526948   T=1,K=0:  22209 (0.032) ;  (0.023) ; 57460 (0.021) ; 30885 (0.017) ; 84234 (0.014) ; nlsj889 (0.013) ; 80043 (0.012) ; 74921 (0.011) ; 100965 (0.011) ; 33819 (0.010) ; 
0.01567477289660887   T=1,K=1:  45996 (0.038) ; 86187 (0.015) ; 35165 (0.013) ; 71023 (0.013) ; 31161 (0.012) ; 52048 (0.009) ; 47735 (0.009) ; 85982 (0.009) ; 68641 (0.008) ; 19789 (0.008) ; 
0.011158112920076462   T=1,K=2:   (0.019) ; 22825 (0.015) ; 45996 (0.015) ; 20621 (0.013) ; 28566 (0.012) ; 62204 (0.012) ; 84494 (0.012) ; 30866 (0.012) ; 19972 (0.011) ; 105829 (0.011) ; 
0.5265809066660357   T=1,K=3:  116416 (0.050) ;  (0.015) ; 84234 (0.014) ; 71308 (0.010) ; 45996 (0.010) ; 90504 (0.009) ; nlsj32160 (0.009) ; 33304 (0.008) ; nlsj96033 (0.008) ; 19972 (0.007) ; 
0.08781536041024275   T=1,K=4:  22209 (0.018) ; nlsj76838 (0.014) ; 260 (0.010) ; 85306 (0.010) ; 76910 (0.010) ; 106502 (0.009) ; 114548 (0.009) ; 25186 (0.009) ; 112720 (0.009) ; 89366 (0.009) ; 
0.0033877956030219894   T=1,K=5:  110639 (0.025) ; 22825 (0.024) ; 86219 (0.023) ; 51647 (0.019) ;  (0.018) ; 86112 (0.013) ; 22209 (0.013) ; 84494 (0.012) ; 42827 (0.011) ; 45996 (0.010) ; 
0.09351453201358273   T=1,K=6:  22209 (0.035) ; 84234 (0.035) ; 8909 (0.014) ; 72627 (0.013) ; 110606 (0.012) ; 57881 (0.011) ; 114615 (0.011) ; 31565 (0.009) ; 46123 (0.009) ; 45948 (0.009) ; 
0.040130988793995716   T=1,K=7:  85306 (0.028) ; 86112 (0.026) ; 22209 (0.019) ; 31236 (0.015) ; 75552 (0.014) ; 114624 (0.014) ; 84234 (0.014) ; 84494 (0.013) ; 15893 (0.011) ; 110639 (0.010) ; 
0.055121869607964176   T=1,K=8:  84494 (0.029) ; 45996 (0.023) ; 22209 (0.021) ; 8665 (0.018) ;  (0.015) ; 260 (0.013) ; 1984 (0.012) ; 58429 (0.011) ; 63772 (0.011) ; 48383 (0.011) ; 
0.11277329956320209   T=1,K=9:  19972 (0.087) ; 48291 (0.026) ; 6616 (0.022) ; 31161 (0.021) ; nlsj11198 (0.014) ; 90504 (0.013) ; nlsj76838 (0.013) ; 26447 (0.013) ; 43309 (0.012) ; 27847 (0.011) ; 

Time=2  
0.04995187631416288   T=2,K=0:  22209 (0.027) ;  (0.024) ; 100965 (0.016) ; 84234 (0.014) ; 57460 (0.014) ; 30885 (0.013) ; 75078 (0.012) ; 62204 (0.011) ; 20097 (0.011) ; 80043 (0.010) ; 
0.08917624164524506   T=2,K=1:  45996 (0.050) ; 31161 (0.016) ; 47735 (0.011) ; 86187 (0.010) ; 62204 (0.010) ; 71023 (0.010) ; 52048 (0.010) ; 35165 (0.009) ; 80557 (0.008) ; 66173 (0.008) ; 
0.041005563629042535   T=2,K=2:   (0.019) ; 20621 (0.015) ; 114548 (0.014) ; 68641 (0.013) ; 45996 (0.012) ; 84494 (0.012) ; 62204 (0.011) ; 22825 (0.011) ; 30866 (0.010) ; 25120 (0.010) ; 
0.14615297795049814   T=2,K=3:  116416 (0.029) ;  (0.016) ; 90504 (0.013) ; 84234 (0.013) ; 71308 (0.012) ; 22209 (0.009) ; nlsj96033 (0.009) ; nlsj32160 (0.008) ; 75595 (0.007) ; 72627 (0.007) ; 
0.3509516276672983   T=2,K=4:  nlsj76838 (0.020) ; 260 (0.011) ; 85306 (0.011) ; 22209 (0.010) ; 112720 (0.010) ; 76910 (0.009) ;  (0.009) ; 76703 (0.009) ; nlsj65911 (0.009) ; 84234 (0.008) ; 
0.0261887436611969   T=2,K=5:  110639 (0.032) ; 86219 (0.026) ; 45996 (0.020) ; 51647 (0.019) ; 86112 (0.018) ;  (0.015) ; 22825 (0.014) ; 84434 (0.014) ; 22209 (0.012) ; 112720 (0.012) ; 
0.07714064676204752   T=2,K=6:  84234 (0.025) ; 22209 (0.021) ; 110606 (0.014) ; 72627 (0.012) ;  (0.011) ; 84494 (0.011) ; 61791 (0.011) ; 76703 (0.010) ; 114615 (0.010) ; 8909 (0.009) ; 
0.09547381064880822   T=2,K=7:  31236 (0.020) ; 86112 (0.018) ; 85306 (0.017) ; 84234 (0.016) ; 22209 (0.015) ; 75552 (0.012) ; 39125 (0.011) ; 28566 (0.011) ; 84494 (0.010) ; 7007 (0.010) ; 
0.04938441054067827   T=2,K=8:  45996 (0.025) ; 8665 (0.023) ; 22209 (0.020) ;  (0.019) ; 84494 (0.014) ; 63772 (0.012) ; 20621 (0.010) ; 1984 (0.009) ; 260 (0.009) ; 80327 (0.009) ; 
0.07457410118102237   T=2,K=9:  19972 (0.052) ; 31161 (0.028) ; 6616 (0.018) ; 48291 (0.016) ; 43309 (0.013) ; 26447 (0.012) ; 72610 (0.010) ; nlsj76838 (0.010) ; 61072 (0.010) ; 74735 (0.010) ; 

Time=3  
0.0667583667067008   T=3,K=0:  22209 (0.044) ;  (0.020) ; 84234 (0.015) ; 30885 (0.014) ; 100965 (0.012) ; 20097 (0.011) ; 98358 (0.011) ; 57460 (0.010) ; 1564 (0.010) ; nlsj889 (0.010) ; 
0.05262646441455458   T=3,K=1:  45996 (0.035) ; 31161 (0.019) ; 62204 (0.010) ; 51373 (0.009) ; 47735 (0.009) ; 75552 (0.008) ; 66173 (0.008) ; 80557 (0.008) ; 71023 (0.008) ; 75306 (0.007) ; 
0.04008062473823264   T=3,K=2:   (0.030) ; 30866 (0.017) ; 45996 (0.013) ; 28566 (0.011) ; 84234 (0.011) ; nlsj33345 (0.010) ; 114548 (0.010) ; 20621 (0.009) ; 84494 (0.009) ; 19972 (0.009) ; 
0.13810316151383   T=3,K=3:  116416 (0.022) ;  (0.019) ; 22209 (0.016) ; 84234 (0.012) ; 45996 (0.008) ; 26886 (0.008) ; 90504 (0.008) ; 71308 (0.008) ; nlsj32160 (0.008) ; 62204 (0.008) ; 
0.15828944201415246   T=3,K=4:  22209 (0.014) ; 76703 (0.013) ; 76910 (0.012) ; nlsj76838 (0.012) ; nlsj39496 (0.011) ; 84234 (0.009) ; 8665 (0.008) ; 85306 (0.008) ; 112720 (0.007) ; 106502 (0.007) ; 
0.050210866463832445   T=3,K=5:  45996 (0.020) ; 110639 (0.017) ; 86219 (0.017) ; 51647 (0.016) ; 86112 (0.015) ; 22209 (0.015) ;  (0.015) ; 112720 (0.012) ; 66494 (0.012) ; 22825 (0.012) ; 
0.024150141383681687   T=3,K=6:  84234 (0.015) ; 22209 (0.014) ; 84494 (0.014) ; 110606 (0.014) ; 76703 (0.013) ;  (0.011) ; 57881 (0.011) ; 72627 (0.010) ; 85306 (0.009) ; 45948 (0.009) ; 
0.18874875116345202   T=3,K=7:  85306 (0.017) ; 22209 (0.016) ; 31236 (0.016) ; 84494 (0.012) ; 39125 (0.012) ; 61791 (0.012) ; 84234 (0.011) ; 28566 (0.010) ; 75552 (0.010) ; 86112 (0.010) ; 
0.21649103582002158   T=3,K=8:   (0.024) ; 63772 (0.017) ; 22209 (0.016) ; 8665 (0.016) ; 84494 (0.015) ; 80327 (0.014) ; 45996 (0.012) ; 90504 (0.012) ; 28566 (0.010) ; 58429 (0.009) ; 
0.06454114578154174   T=3,K=9:  19972 (0.024) ; 48291 (0.019) ; 31161 (0.014) ; 74735 (0.013) ; nlsj11198 (0.011) ; 61072 (0.010) ; 26447 (0.010) ; 50257 (0.010) ; 84234 (0.009) ; 43309 (0.009) ; 

Time=4  
0.042195211302530476   T=4,K=0:  22209 (0.037) ;  (0.021) ; 20097 (0.016) ; 57460 (0.012) ; 84234 (0.012) ; 17412 (0.012) ; 80043 (0.012) ; 89666 (0.009) ; 100965 (0.009) ; 33819 (0.009) ; 
0.06385944851735409   T=4,K=1:  45996 (0.024) ; 62204 (0.014) ; 66173 (0.012) ; 31161 (0.009) ;  (0.009) ; 47735 (0.008) ; 23069 (0.008) ; 75306 (0.008) ; 51373 (0.008) ; 101024 (0.008) ; 
0.10824995915283724   T=4,K=2:   (0.017) ; 45996 (0.017) ; 20621 (0.012) ; 19972 (0.011) ; 30866 (0.011) ; 25120 (0.011) ; 84234 (0.010) ; 22209 (0.010) ; 28566 (0.010) ; nlsj33345 (0.010) ; 
0.1635108330943602   T=4,K=3:   (0.014) ; 22209 (0.011) ; 71308 (0.011) ; 115887 (0.011) ; 116416 (0.011) ; 62204 (0.010) ; 45996 (0.010) ; 84234 (0.009) ; 15893 (0.009) ; nlsj32160 (0.008) ; 
0.09676268224646159   T=4,K=4:  76703 (0.019) ; 22209 (0.014) ; nlsj76838 (0.012) ; 45996 (0.009) ; 85306 (0.009) ; nlsj39496 (0.008) ; 84494 (0.008) ; 84234 (0.008) ; 112720 (0.008) ; 46646 (0.007) ; 
0.0764924919602615   T=4,K=5:  51647 (0.021) ; 86112 (0.020) ; 86219 (0.015) ; 45996 (0.015) ; 22209 (0.013) ; 90504 (0.012) ; 112720 (0.011) ; 42827 (0.011) ; 110639 (0.011) ;  (0.010) ; 
0.09134624209921553   T=4,K=6:  84494 (0.017) ; 22209 (0.015) ; 84234 (0.013) ; 76703 (0.010) ; 45996 (0.009) ; 61791 (0.008) ; 110606 (0.008) ; 65097 (0.008) ; 85306 (0.008) ;  (0.008) ; 
0.1556962923700041   T=4,K=7:  31236 (0.020) ; 85306 (0.015) ; 84494 (0.014) ; 75552 (0.013) ; 22209 (0.013) ; 84234 (0.012) ; 35165 (0.010) ; 61791 (0.009) ; 86112 (0.009) ; 62204 (0.008) ; 
0.11249460031982086   T=4,K=8:  22209 (0.018) ; 63772 (0.018) ; 8665 (0.016) ;  (0.016) ; 84494 (0.014) ; 90504 (0.014) ; 45996 (0.013) ; 20621 (0.011) ; 48383 (0.009) ; 58429 (0.009) ; 
0.08939223893715442   T=4,K=9:  31161 (0.021) ; 19972 (0.017) ; 61072 (0.014) ; 48291 (0.014) ;  (0.014) ; 84234 (0.011) ; 26447 (0.010) ; 50257 (0.010) ; 90504 (0.009) ; 74735 (0.009) ; 

Time=5  
0.0849572594590668   T=5,K=0:  22209 (0.028) ; 84234 (0.017) ; 17412 (0.015) ;  (0.013) ; 74921 (0.013) ; 100965 (0.013) ; 57460 (0.011) ; 89666 (0.010) ; 20097 (0.009) ; 90504 (0.009) ; 
0.04344059216509949   T=5,K=1:  45996 (0.025) ; 62204 (0.013) ; 66173 (0.010) ; 75306 (0.010) ; 31161 (0.009) ;  (0.009) ; 101024 (0.008) ; 47735 (0.008) ; 23069 (0.007) ; 29883 (0.007) ; 
0.036618078829632604   T=5,K=2:  45996 (0.019) ;  (0.017) ; 20621 (0.015) ; 84234 (0.011) ; 22209 (0.010) ; 27847 (0.010) ; 25120 (0.010) ; 30866 (0.010) ; 72202 (0.008) ; 72980 (0.008) ; 
0.21537976094968242   T=5,K=3:  84234 (0.016) ; 22209 (0.013) ; 71308 (0.011) ; 86184 (0.011) ; 115887 (0.010) ; 116416 (0.010) ; nlsj32160 (0.008) ;  (0.008) ; 63772 (0.008) ; 62204 (0.007) ; 
0.04577422854271035   T=5,K=4:  22209 (0.018) ; 76703 (0.015) ; 84234 (0.012) ; 45996 (0.011) ; nlsj76838 (0.011) ; 85306 (0.009) ; 112720 (0.009) ; 48291 (0.009) ; nlsj39496 (0.008) ; 89877 (0.007) ; 
0.06328176883917438   T=5,K=5:  86112 (0.018) ; 45996 (0.017) ; 85306 (0.016) ; 112720 (0.011) ; 86219 (0.011) ;  (0.010) ; 51647 (0.010) ; 22825 (0.009) ; 110639 (0.008) ; 22209 (0.008) ; 
0.15738559416519166   T=5,K=6:  22209 (0.027) ; 84234 (0.012) ; 61791 (0.011) ; 45996 (0.011) ; 84494 (0.010) ; 22100 (0.010) ; 8909 (0.009) ; 72627 (0.009) ; 85306 (0.009) ; 71308 (0.008) ; 
0.10391876062184645   T=5,K=7:  84234 (0.017) ; 75552 (0.015) ; 85306 (0.014) ; 31236 (0.012) ; 22209 (0.012) ; 24292 (0.011) ; 84494 (0.010) ; 61791 (0.010) ; nlsj76838 (0.008) ; 43206 (0.008) ; 
0.09004807448686598   T=5,K=8:  45996 (0.016) ;  (0.015) ; 20621 (0.014) ; 84494 (0.013) ; 63772 (0.012) ; 8665 (0.010) ; 22209 (0.010) ; 49875 (0.010) ; 48383 (0.010) ; 47617 (0.009) ; 
0.15919588194072998   T=5,K=9:  31161 (0.020) ; 19972 (0.019) ; 48291 (0.018) ;  (0.016) ; 61072 (0.015) ; 22209 (0.012) ; 26447 (0.011) ; 84234 (0.011) ; 90504 (0.010) ; 74735 (0.010) ; 

Time=6  
0.13940161144117952   T=6,K=0:  22209 (0.018) ; 100965 (0.017) ; 17412 (0.013) ; 114615 (0.013) ; 110639 (0.011) ; 89666 (0.011) ; 84234 (0.010) ; 90504 (0.009) ; 20097 (0.009) ;  (0.009) ; 
0.04991878438934037   T=6,K=1:  45996 (0.026) ;  (0.013) ; 29883 (0.012) ; 85982 (0.011) ; 23069 (0.010) ; 66173 (0.009) ; 62204 (0.009) ; 75306 (0.008) ; 47735 (0.008) ; 76703 (0.008) ; 
0.10910444720192512   T=6,K=2:   (0.027) ; 20621 (0.019) ; 84234 (0.018) ; 45996 (0.012) ; 63772 (0.012) ; 22209 (0.010) ; 28566 (0.009) ; 25120 (0.009) ; 64866 (0.008) ; 27847 (0.008) ; 
0.07851636095922734   T=6,K=3:  22209 (0.018) ; 86184 (0.012) ; 84234 (0.012) ; 71308 (0.011) ; 62204 (0.010) ; 115887 (0.010) ; 102000 (0.009) ;  (0.009) ; 63772 (0.009) ; nlsj107632 (0.007) ; 
0.036215218490517065   T=6,K=4:  22209 (0.016) ; 76703 (0.015) ; 84234 (0.012) ; 85306 (0.012) ; nlsj76838 (0.010) ;  (0.010) ; 45996 (0.009) ; 21920 (0.008) ; 48291 (0.007) ; 76910 (0.007) ; 
0.15895688613308312   T=6,K=5:  85306 (0.019) ; 45996 (0.012) ; 112720 (0.011) ; 22825 (0.010) ; 86112 (0.010) ; 51647 (0.010) ; 8665 (0.010) ;  (0.010) ; 86219 (0.009) ; 110639 (0.008) ; 
0.165674974514577   T=6,K=6:  22209 (0.028) ; 85306 (0.016) ; 22100 (0.013) ; 36880 (0.012) ;  (0.010) ; 52571 (0.010) ; 61791 (0.008) ; 84494 (0.008) ; 45996 (0.008) ; 65097 (0.008) ; 
0.10280518344565227   T=6,K=7:  84234 (0.016) ; 85306 (0.015) ; 75552 (0.011) ; 35165 (0.010) ; 31236 (0.010) ; nlsj76838 (0.010) ; 22209 (0.010) ; 84494 (0.010) ; 61791 (0.009) ; 43206 (0.009) ; 
0.06879060624284482   T=6,K=8:  48383 (0.019) ; 45996 (0.016) ; 22209 (0.015) ;  (0.014) ; 49875 (0.011) ; 20621 (0.011) ; 84494 (0.011) ; 63772 (0.010) ; 76703 (0.009) ; 72627 (0.008) ; 
0.0906159271816534   T=6,K=9:  31161 (0.022) ; 84234 (0.014) ;  (0.012) ; 48291 (0.012) ; 61072 (0.012) ; 19972 (0.011) ; 22209 (0.011) ; 26447 (0.010) ; 46123 (0.009) ; 90504 (0.008) ; 

Time=7  
0.08660829080635882   T=7,K=0:  22209 (0.021) ; 100965 (0.017) ; 114615 (0.016) ; 26259 (0.012) ; 84234 (0.011) ; 85306 (0.011) ; 17412 (0.011) ; 90504 (0.011) ; 110639 (0.010) ;  (0.009) ; 
0.05067296713921492   T=7,K=1:  45996 (0.019) ;  (0.014) ; 29883 (0.011) ; 47735 (0.009) ; nlsj61372 (0.008) ; 42214 (0.008) ; 114753 (0.008) ; 85982 (0.008) ; 66173 (0.008) ; 62204 (0.007) ; 
0.11931887146743735   T=7,K=2:  45996 (0.015) ; 61791 (0.013) ; 22209 (0.012) ; 64866 (0.011) ; 28566 (0.011) ; 20621 (0.010) ; 43206 (0.010) ; 63772 (0.010) ;  (0.009) ; 84234 (0.008) ; 
0.08596398998740919   T=7,K=3:  22209 (0.018) ; 62204 (0.018) ; 84234 (0.013) ;  (0.012) ; 86184 (0.012) ; 19972 (0.011) ; 63772 (0.011) ; 71308 (0.009) ; 102000 (0.008) ; nlsj107632 (0.008) ; 
0.13897464511236776   T=7,K=4:  84234 (0.018) ; 45996 (0.014) ; 22209 (0.013) ; 85306 (0.009) ; 76703 (0.009) ;  (0.009) ; 23658 (0.007) ; 76910 (0.007) ; nlsj76838 (0.007) ; 21920 (0.007) ; 
0.14951249465222544   T=7,K=5:  85306 (0.023) ; 45996 (0.016) ; 112720 (0.014) ; 51647 (0.011) ;  (0.009) ; 110639 (0.009) ; 8665 (0.009) ; 84234 (0.009) ; 63772 (0.008) ; 90504 (0.008) ; 
0.0850488000005265   T=7,K=6:  22209 (0.026) ; 85306 (0.015) ; 45996 (0.015) ; 52571 (0.012) ; 84494 (0.011) ; 8909 (0.011) ; 61791 (0.011) ; 36880 (0.010) ; 22100 (0.009) ; 43206 (0.009) ; 
0.07840492145059878   T=7,K=7:  84234 (0.017) ; 85306 (0.015) ; 48291 (0.014) ; nlsj76838 (0.012) ; 75552 (0.012) ; 22209 (0.011) ; 31236 (0.011) ; 62204 (0.009) ; 30866 (0.009) ; 35165 (0.008) ; 
0.08940487975398852   T=7,K=8:   (0.017) ; 22209 (0.013) ; 48383 (0.013) ; 45996 (0.009) ; 20621 (0.009) ; 49875 (0.009) ; 84494 (0.008) ; 63772 (0.008) ; 30790 (0.007) ; 76703 (0.007) ; 
0.11609013962987264   T=7,K=9:   (0.017) ; 31161 (0.013) ; 90504 (0.012) ; 27847 (0.011) ; 48291 (0.011) ; 84234 (0.011) ; 19972 (0.010) ; 26447 (0.009) ; 61072 (0.009) ; 22209 (0.008) ; 

Time=8  
0.04398113640161073   T=8,K=0:  22209 (0.014) ; 90504 (0.014) ; 100965 (0.013) ; 74921 (0.013) ; 85306 (0.013) ; 84234 (0.012) ; 114615 (0.012) ; 110639 (0.010) ; 17412 (0.009) ; 26259 (0.009) ; 
