LEMMA	ID	FREQUENCY
ἄρρωστος	15553	48
διάβροχος	24594	48
διεγείρω	26454	48
δριμύτης	28403	48
κόχλιας	59536	48
κατάλληλος	54416	48
προτρεπτικός	90550	48
σκέπω	94713	48
εὐάρμοστος	43462	48
Κηφισόδωρος	nlsj6247	48
προφασίζομαι	90660	48
οἰκητήριον	72281	48
προπαρασκευάζω	88240	48
ὑποσημαίνω	109106	48
ὑστερίζω	109738	48
τηνικάδε	103861	48
διαβιόω	24554	48
καταβιόω	53691	48
ἐπιχωριάζω	41704	48
ἀπειρόκαλος	11746	48
ἀχαριστία	18652	48
ἀλλοτριότης	4510	48
εἰρηνεύω	31190	48
Βίων	nlsj4202	48
Μακάρτατος	nlsj7468	48
μετακομίζω	66729	48
αὐτάρκεια	17559	48
Φωκικός	nlsj5621	48
ἠρεμία	47537	48
γενητός	21891	48
θεατρικός	47980	48
διαβεβαιόομαι	nlsj33433	48
ἄμεσος	5178	48
παρεκτείνω	79300	48
Ἄψυρτος	nlsj1609	48
Ἰούνιος	nlsj3531	48
παράπτωμα	78666	48
Δεινοκράτης	nlsj4586	48
οἰκοδομή	72322	48
γενικός	21893	48
Ἀνάξαρχος	nlsj2328	48
Πλατωνικός	nlsj8930	48
ἀβούλητος	146	48
Χρύση	nlsj11066	47
μερμηρίζω	66333	47
αἶσις	2683	47
ἑξείης	37063	47
εὐρύοπα	45026	47
ἡγήτωρ	46632	47
αἴθων	2362	47
Ἄσκάνιος	nlsj2902	47
Τμῶλος	104149	47
ὄβριμος	71932	47
μαρμαίρω	65041	47
ξέω	71583	47
ἅδην	1251	47
πίσυνος	83338	47
πεῖραρ	80346	47
ὀπάων	74425	47
πρεσβεῖον	86283	47
Ἀφαρεύς	nlsj1875	47
ἐπεμβαίνω	38607	47
κῶας	61180	47
σκοπιάζω	95116	47
οἶμος	72433	47
λύγος	64042	47
Λαπίθαι	nlsj7011	47
διαίνω	24838	47
ἰαίνω	49659	47
δίζω	26752	47
τάλαρος	102241	47
εἰσαφικνέομαι	31302	47
ἀνιχνεύω	9102	47
ἕσπερος	42938	47
ἱππάζομαι	50658	47
σφῦρα	101754	47
χεῖμα	113526	47
Μάρων	65099	47
Ὄσσα	nlsj1791	47
πεμπταῖος	80549	47
Θεσπρωτός	nlsj9553	47
εὔορκος	44635	47
ἐντρέφω	36305	47
Πίνδος	nlsj8864	47
πυκνος	nlsj95366	47
Ἀσιανός	nlsj2894	47
στοῖχος	96951	47
ἐκπίμπλημι	32651	47
τοξικός	104301	47
φυράω	112649	47
ἄφιλος	18367	47
ἐπίχαρις	41605	47
Δελφός	nlsj4603	47
ἄτρακτος	17164	47
ὁλκός	73168	47
Παρθένος	79572	47
αἴλουρος	2389	47
κατοπτεύω	56069	47
Ἴακχος	49669	47
ἐπιτέμνω	41298	47
καταχράω	nlsj63371	47
αὐτοχειρία	18020	47
Φωκαιεύς	nlsj5618	47
ἐκποιέω	32706	47
Σύρτις	101325	47
σίτησις	94360	47
κατατοξεύω	55422	47
προσδιαλέγομαι	88870	47
παννυχίς	77484	47
καταστροφεύς	55315	47
κλώθω	58065	47
πενταπλάσιος	80707	47
Μεγαρίς	nlsj7631	47
ὑπαρχή	106969	47
ἀμφισβητήσιμος	6061	47
ὀπός	74610	47
διαχώρημα	26326	47
γύμνασις	22969	47
ἑπτακαιδέκατος	41949	47
θανατώδης	47880	47
ὑδατώδης	106317	47
ὑποληπτέον	108696	47
φιλοπονία	111415	47
πελαργός	80412	47
πρόσρησις	90030	47
καπηλεῖον	53152	47
πολυχειρία	85542	47
Μήθυμνα	nlsj7772	47
Ἱμέραιος	nlsj1181	47
Ἀστύοχος	nlsj2954	47
Νικοκλέης	nlsj8245	47
ἀναγραφεύς	6380	47
ἀσύμφωνος	16790	47
νεανιεύομαι	69950	47
ἁλιευτικός	4183	47
ἐνάμιλλος	34822	47
Μόλων	nlsj7907	47
συναριθμέω	99497	47
διημερεύω	26783	47
ἀπογεύω	12344	47
ἐλευθεριότης	33608	47
φιλότεχνος	111536	47
ἀποτίκτω	14050	47
ἀποτάσσω	13990	47
κατηγόρημα	55911	47
βράγχιον	20758	47
λοιμικός	63827	47
παρώρεια	79895	47
Νάβις	nlsj8063	47
μεθερμηνεύω	65608	47
Ἀφρικανός	nlsj1885	47
ἐπικατάρατος	39617	47
διάταγμα	26017	47
Παλάτιον	76815	47
αὐτεξούσιος	17575	47
προέπειμι	88304	47
Φιλόχορος	nlsj5470	47
Φρύνη	nlsj5577	47
διαβόητος	24566	47
ἄποινα	12700	46
ὁρμαίνω	75149	46
ἀπιθέω	12110	46
χθιζός	113951	46
ἠέριος	46735	46
ἀπατηλός	11610	46
οἰνόχοος	72583	46
αἰθαλόεις	2298	46
Μαχάων	nlsj7547	46
ἐπίορκος	40404	46
ἀναπάλλω	7137	46
πορσύνω	85822	46
ἐναλίζω	34795	46
κυδαίνω	60541	46
σκόλοψ	95087	46
ἀθλέω	2012	46
ἐποχέομαι	41887	46
διασχίζω	26001	46
κέδρινος	56376	46
γενετή	21875	46
νόστιμος	71074	46
Εὐρύμαχος	nlsj5169	46
Ἀμφιτρίτη	6116	46
ὑακίνθινος	106129	46
πυρπολέω	91821	46
Ἀργός	nlsj2620	46
Οὐρανία	75921	46
Καλλιόπη	52691	46
καταδύω	30140	46
Δίρκη	nlsj4741	46
φθόρος	110757	46
πένθιμος	80607	46
ἀπευθύνω	11999	46
προσαιτέω	88489	46
ἀπάνθρωπος	11401	46
ἀνεψιά	8579	46
Ὀμφάλη	nlsj3717	46
παῦλα	80115	46
ἐνάπτω	34971	46
κατασπείρω	55210	46
ἐξίτηλος	37425	46
περικάθημαι	81448	46
φρύγω	112429	46
ὑποβαίνω	108099	46
δολερός	27886	46
σιδήριον	94009	46
προσίσχω	89455	46
φακός	110141	46
Ἀβυδηνός	nlsj1825	46
ἐμπλέω	34397	46
Χαλκιδικός	nlsj10949	46
ἀναβολάς	6271	46
ἀκροβολίζομαι	3531	46
μεριμνάω	66310	46
Θέογνις	nlsj9451	46
δημοσιεύω	24441	46
ἀδολεσχία	1442	46
κηδεία	57048	46
ὑπειδόμην	107027	46
ἡνιοχέω	47416	46
βήξ	19847	46
ἄναιμος	6601	46
Ἀντιφών	nlsj2471	46
ἀποπλανάω	13431	46
φιλοτεχνέω	111530	46
ἐγκρίνω	30420	46
Ἄρχιππος	nlsj1584	46
γενναιότης	21900	46
ἐπείσακτος	38502	46
θηρατής	48716	46
ἄχραντος	18761	46
Ἀρχέδημος	nlsj2836	46
εἰσαγώγιμος	31251	46
ὑποτελής	109344	46
ἐπήρεια	38839	46
παιανίζω	76534	46
ἑλληνίζω	nlsj38512	46
κατάπλοος	54850	46
Θεσπιός	nlsj9548	46
ἐπιορκία	40402	46
ἀρχαιολογία	15834	46
ἱεροσυλία	50107	46
ὄσφρησις	75670	46
ἀποσιωπάω	13684	46
Δημοχάρης	nlsj4699	46
καταδυναστεύω	53950	46
οἰκισμός	72300	46
ἐφεδρεία	45629	46
Πλούταρχος	nlsj8952	46
περίχωρος	82583	46
ἀντιπολιτεύομαι	10391	46
εἰσαίω	nlsj186	46
κατακληρουχέω	54170	46
Λατίνη	62035	46
προβοσκίς	86853	46
καθυστερέω	51938	46
Σελευκεία	nlsj9881	46
ὑπερασπίζω	107283	46
Νουμήνιος	nlsj8281	46
ἐκπορνεύω	32733	46
μεταγενέστερος	nlsj73566	46
Βαγώας	nlsj4121	46
Στάφυλος	nlsj10220	46
Βερόη	nlsj4191	46
οὐλόμενος	75849	45
στεῖρα	96415	45
Ἁλίαρτος	nlsj895	45
ἠνεμόεις	47397	45
ἐκσῴζω	32930	45
ἀπέχθομαι	12032	45
Μάιος	nlsj7374	45
ἀολλής	11126	45
ὀρυκτός	75421	45
ὄνειαρ	74002	45
ἄυπνος	nlsj13190	45
ἐρέβινθος	42241	45
ἁλίς	nlsj11486	45
κονίω	58911	45
ἄκμων	3251	45
ῥοῖζος	92662	45
Πλειάδες	83637	45
Ἄλκιμος	nlsj1450	45
οὐραῖος	75917	45
ζηλήμων	46213	45
ὀκτωκαιδέκατος	72868	45
ἐγκρύπτω	30434	45
Ταύγετον	nlsj10475	45
ἀπολείβω	13033	45
Χάρυβδις	nlsj10924	45
λαῖφος	61690	45
ἄνοσος	9310	45
σαίρω	93058	45
κέγχρος	56357	45
κηφήν	57293	45
προκατέχω	87754	45
κόκκος	58515	45
ἐπικρεμάννυμι	39876	45
ἄδυτος	1526	45
ὠλένη	116150	45
ὀλισθήεις	73143	45
προμανθάνω	87969	45
διάπλοος	25562	45
ἐκκενόω	32142	45
σκηπτός	94802	45
κατασκαφή	55122	45
συνέμπορος	100055	45
σταγών	96146	45
ἀφέλκω	18199	45
κηλίς	57112	45
θανατηφόρος	nlsj95984	45
κατοκνέω	56028	45
ἐνσείω	36043	45
ἐκπορθέω	32726	45
κυβεύω	60505	45
μελοποιός	66186	45
προμήκης	88023	45
εὐπρόσωπος	44888	45
ἀγρεύω	838	45
ὁμόγλωσσος	73549	45
ὀσφραίνομαι	75663	45
ὀμβρικός	73426	45
Καρικός	53342	45
συνεκπίπτω	99969	45
Αἰθιοπικός	nlsj3997	45
μεταδιώκω	66649	45
χλανίς	114122	45
ἐπιποθέω	40567	45
Κῷον	nlsj6866	45
ὄψιος	76332	45
Τάναγρα	102289	45
τέμαχος	103038	45
προσκεφάλαιον	89587	45
δόξις	28013	45
μνημονικός	68187	45
ἀπᾴδω	11213	45
Πάραλος	nlsj8423	45
ἀβουλέω	145	45
ἐπιπόλαιος	nlsj50582	45
διαναπαύομαι	nlsj34223	45
βοήθημα	20215	45
ἀντιπίπτω	10359	45
καθάρειος	51681	45
σημαντικός	93796	45
τοσαυτάκις	104412	45
πορφυρίς	85847	45
προφάω	90667	45
ἀλαζονεύομαι	3826	45
σκυθρωπάζω	95271	45
ἀναισχυντέω	6631	45
Κλειτοφῶν	nlsj6359	45
ἀκυρόω	3786	45
ἐνδοιάζω	35248	45
Φαρσάλιος	nlsj5343	45
ἀνδραποδισμός	7891	45
Ἱερή	nlsj1165	45
ἀριστοποιέω	15127	45
Ἐπιπολή	nlsj3221	45
πανταχόσε	77595	45
ἁμός	5447	45
ἀρνίον	15325	45
νομοθετικός	70994	45
μεγαλαυχία	65353	45
εἰσρέω	31520	45
ὁδοποιέω	72086	45
προπολεμέω	88344	45
ὁμοίωσις	73709	45
ἀσάφεια	16110	45
βωμολοχία	21331	45
ἡδύνω	46692	45
σατυρικός	nlsj98242	45
περικλάω	81525	45
ἀνέγκλητος	8068	45
δεικτέον	23659	45
ἐπαφίημι	38412	45
σιδηρεύς	94005	45
συνεξορμάω	100161	45
ἀθεότης	1942	45
ἀκρώρεια	3700	45
τετραρχία	103525	45
τελείωσις	102939	45
ἀναπόδεικτος	7250	45
νομαδικός	70937	45
ἡμίφωνος	47348	45
δεικτικός	23663	45
ὑδατόεις	106300	45
Σεμπρώνιος	nlsj9894	45
Λυκόρτης	nlsj7321	45
ἀδιάλειπτος	1286	45
περιοχή	81835	45
ἀπεγγελάω	nlsj23828	45
Μενήνιος	nlsj7711	45
Κοῖνος	nlsj6493	45
Μαλλός	nlsj7387	45
τετράρχης	103524	45
Σωσθένης	nlsj10396	45
Σαμαρείτης	nlsj9778	45
Πολύκαρπος	nlsj9032	45
κουρίδιος	59463	44
Λαερτιάδης	nlsj6941	44
λᾶας	61438	44
δυοκαίδεκα	28596	44
Δαρδάνιος	nlsj4529	44
Πιτθεύς	nlsj8904	44
ἐξεναρίζω	37128	44
ὑπεκφεύγω	107107	44
δίζυξ	26750	44
Προῖτος	nlsj9210	44
καταπήγνυμι	54794	44
μήκων	67360	44
διικνέομαι	nlsj33704	44
ξυρόν	71834	44
ἶρις	nlsj60494	44
Πόλυβος	nlsj8976	44
ῥαθάμιγξ	92087	44
νίσσομαι	70874	44
ἐπικλίνω	39762	44
λοβός	63689	44
παρείας	79214	44
Γανυμήδη	nlsj5658	44
ναίω	69925	44
ἔσθος	42895	44
ὑπνάω	nlsj108158	44
δολόεις	27927	44
λευκόν	62698	44
τρυπάω	105717	44
Ἑσπερίς	42933	44
Τυρσηνός	106037	44
πλῆκτρον	83797	44
διαπλέκω	25549	44
βουκόλιον	20560	44
στίβος	96786	44
εὐανθής	43408	44
Βάττος	nlsj4109	44
πάλαισμα	76778	44
Αὐγέης	nlsj4038	44
ἱερομηνία	50064	44
Νέμειον	nlsj8126	44
ἀστυνόμος	16707	44
ἐπίπνοια	40564	44
ἁγνεύω	701	44
δέσμιον	24180	44
διαιρετός	24846	44
ἐξασκέω	36966	44
ψοφέω	115810	44
ἐπιχαίρω	41588	44
ἕρμαιον	42590	44
Ἀλυάττης	nlsj2188	44
Παιανιεύς	nlsj8456	44
καταβιβάζω	53685	44
αἰθρία	2340	44
ἐπιτελής	41293	44
ἔπιπλα	40510	44
τειχήρης	102803	44
Μασσαγέται	nlsj7539	44
δίπηχυς	27349	44
ἀτιμώρητος	17091	44
προσκάθημαι	89468	44
εὔστομος	45185	44
νεοσσιά	70379	44
περικλείω	81533	44
Σίγειον	nlsj9940	44
ἀναδιδάσκω	6447	44
Σύβαρις	97474	44
κλήρουχος	57889	44
ὑποκινέω	108554	44
ἐπαναχωρέω	38170	44
φάσσα	110415	44
ἱππασία	50681	44
τερατεία	103107	44
κότταβος	59389	44
ἐπομβρία	41801	44
ἀβέλτερος	80	44
ἀναχώννυμι	7830	44
ἐξακοντίζω	36610	44
περινοστέω	81744	44
πτισάνης	91198	44
γεννητικός	21913	44
ἐπιτηδειότης	41336	44
ἐξαπίναιος	36849	44
ὑγεία	nlsj108476	44
διάχυσις	26319	44
ἐνάρχομαι	35021	44
ἄβροχος	202	44
κράτησις	59722	44
σύνδειπνον	99624	44
ἐξόπισθεν	37567	44
διαμέλλω	25246	44
σύμπρεσβυς	98814	44
καλύβη	52865	44
ἐνδεῶς	nlsj46112	44
οἰκοδομικός	72330	44
ἀγριαίνω	844	44
Δικαιογένης	nlsj4772	44
προστιμάω	90169	44
στερεόω	96565	44
παιδοποιία	76646	44
δυσκίνητος	29150	44
ἐπίτριτος	41432	44
ζωτικός	46554	44
διακόσμησις	25025	44
συνείδησις	99843	44
φιλοκίνδυνος	111225	44
κατάπειμι	54795	44
Φοιβίδης	nlsj5533	44
Τριφυλίη	nlsj10798	44
Κλείταρχος	nlsj6340	44
συμφιλοσοφέω	98913	44
ἀναβλύζω	6261	44
δυσχρηστέω	29638	44
Τερέντιος	nlsj10567	44
ἀξιωματικός	11076	44
γαζοφυλάκιον	21397	44
ἀγαθοποιός	259	44
λιμνάζω	63305	44
Μελικέρτης	nlsj7678	44
μηρία	67513	43
σκιόεις	94895	43
σκίδνημι	94857	43
πολυσπερής	85339	43
κυδάλιμος	60542	43
ἀνακλίνω	6736	43
θρόος	49207	43
Μελάνθιος	nlsj7649	43
Νῦσα	71318	43
τῆμος	103852	43
μέθυ	65652	43
πόλυτλας	85433	43
κλητός	57906	43
ἄνω	10922	43
ἀποίχομαι	12712	43
βρυχάομαι	21133	43
βρύω	21147	43
ἀποσκεδάννυμι	13690	43
ἀναξηραίνω	7099	43
φιλόξενος	111352	43
μαρμαρυγή	65062	43
Πάφος	80144	43
Ἀχέρων	18683	43
Ἀρέθουσα	14925	43
ἐπασκέω	38352	43
δουλόσύνη	28190	43
Κλωθώ	58066	43
ἄμητος	nlsj12527	43
ὕπερον	107735	43
σύμμικτος	98435	43
Φώκαια	nlsj5612	43
εὔφωνος	45454	43
ἰχνεύω	nlsj60529	43
ἀκροθίνιον	3558	43
βύσσινος	21261	43
κώδων	61198	43
γοργός	22689	43
Λαΐης	nlsj6902	43
αὐτόχθονος	18027	43
συναίτιος	99106	43
κουρά	59433	43
ἐπαιτιάομαι	37903	43
σκῆνος	94792	43
φώρ	112850	43
πρίω	86399	43
ἔνορκος	35965	43
αἰσχροκέρδεια	2711	43
ἐξημερόω	37323	43
Πανδίων	nlsj8524	43
κατάρρυτος	55066	43
ἀνακλαίω	6715	43
διαζάω	24750	43
Βάρκα	nlsj4104	43
φῦμα	112623	43
μεταχειρίζω	67039	43
συνεξέρχομαι	100132	43
διχοστασία	27695	43
καθηγεμών	51784	43
ἀπόλυσις	13142	43
Δαρεικός	23466	43
πεντακισμύριοι	80654	43
συμποτικός	98797	43
τευθίς	103648	43
συναναιρέω	99218	43
βαλλάντιον	19268	43
ἀνυπόδητος	10871	43
Ἀντιφῶν	nlsj2470	43
Ὠρεός	nlsj3854	43
κατόρθωσις	56091	43
τάραχος	102435	43
εὐχαριστία	45475	43
ὑποβλέπω	108129	43
ῥύγχος	92763	43
διαριθμέω	25699	43
παριππεύω	79623	43
χοανεύω	114253	43
κατασκοπή	55174	43
παραρρήγνυμι	78692	43
Αἰνιάν	nlsj3976	43
δουλικός	28168	43
νουθεσία	71105	43
ὑπόγυιος	108218	43
ἐπιφωνέω	41573	43
Φεραῖος	nlsj5368	43
παρακέλευσις	78150	43
σταύρωμα	96301	43
Ἡραῖος	47510	43
ἐποικοδομέω	41765	43
ἀτακτέω	16941	43
μυθικός	69026	43
καρτερικός	53490	43
βάδισμα	18984	43
ἀθέατος	1911	43
καταστασιάζω	55239	43
Μενεκλῆς	nlsj7706	43
Ἀμβρακίη	nlsj2215	43
ἐπισημασία	40811	43
κυλίω	60717	43
ἀνοίκειος	9152	43
ὑπόδειγμα	108235	43
δικαιολογία	26870	43
κυνηγός	nlsj69265	43
Τέρπανδρος	nlsj10514	43
Μηνόδωρος	nlsj7802	43
ἰχθύδιον	51450	43
Ἔφιππος	nlsj1613	43
ἀμύσσω	5622	42
Ἠετίων	nlsj3354	42
ὀβελός	71911	42
πραπίδες	86189	42
φᾶρος	110368	42
ἱερεύω	50007	42
Ἀμύκλαι	5583	42
ἀγέρωχος	475	42
ὁπλότερος	74583	42
ἱμερτός	50482	42
κορυθαίολος	nlsj68125	42
κίθαρις	57345	42
νηλής	70660	42
ἐφίπταμαι	45789	42
μῶνυξ	69598	42
ἄσχετος	16905	42
ἀκόρητος	3354	42
καταπέτομαι	54787	42
Αἰγαί	nlsj3923	42
Ὑπερίων	107607	42
Δόλοψ	nlsj4863	42
χατέω	113485	42
πῖος	83238	42
ἀγελαῖος	420	42
θεοπρόπος	48278	42
Ἴμβρος	50467	42
ἄλυτος	4748	42
βομβέω	20303	42
Ἰξίων	50554	42
ῥυτήρ	92879	42
Γαλάτεια	nlsj5648	42
εὐνάζω	44521	42
βιοτή	19982	42
ἀδάμας	1144	42
Αἵδης	nlsj1418	42
στίγμα	96788	42
Λάδων	nlsj6896	42
δεσμεύω	24173	42
παρέξειμι	79418	42
ἵππιος	50722	42
θράσις	49020	42
διάπειρα	25481	42
θρέψις	49099	42
ὀφιώδης	76159	42
ἀνδριαντοποιός	7941	42
σύμφυτον	98973	42
συμμάχομαι	98357	42
παρηίς	nlsj83689	42
πρόσπολος	89993	42
πρόβουλος	86864	42
Κάνωβος	53130	42
θροέω	49189	42
γεμίζω	21819	42
πορθμεύω	85750	42
μύραινα	69220	42
ἐπαναγκάζω	38039	42
ἀκήρυκτος	3156	42
διίημι	nlsj32917	42
πρίων	86402	42
ἀγύμναστος	977	42
μελῳδία	66205	42
Μουσαῖος	nlsj7977	42
ἀπεχθής	12030	42
ὑπερήδομαι	107530	42
ἀποσχίζω	13962	42
ἁλίζω	4186	42
καθαγίζω	51649	42
περιυβρίζω	82433	42
ἔκδοσις	31910	42
προακούω	86471	42
διεκπλέω	26521	42
ἀνεπιστήμων	8435	42
εἰσοικίζω	31452	42
Ἑλλησποντιακός	33835	42
ἀπόκρημνος	12944	42
περικαλύπτω	81464	42
ἱπποτοξότης	50845	42
Κούριον	nlsj6577	42
ζωγρία	46407	42
ἐξαγριόω	36503	42
Φαρνάκης	nlsj5337	42
Ἄνδριος	nlsj1495	42
συνάχθομαι	99598	42
πλάνος	83483	42
συμφερόντως	98892	42
ἄκουσις	3388	42
ᾦον	nlsj112079	42
προσδίδωμι	88902	42
ὑπήνη	108037	42
ἀπραγμοσύνη	14390	42
προθύω	87549	42
κατάψυξις	55684	42
παραφροσύνη	79047	42
δύσχρηστος	29641	42
συγγενικός	97509	42
Ἀριστίων	nlsj2707	42
μύστης	69474	42
πεντηκοστή	80860	42
προφῆτις	90682	42
μιγάς	67671	42
ἀσίδηρος	16200	42
κύβας	60476	42
κακοπραγία	52313	42
ἐμβοάω	34010	42
κρημνώδης	59880	42
ὁμηρεία	73470	42
παρεμπίπτω	79349	42
διδασκαλικός	26409	42
Λύσις	nlsj7278	42
ἐναντιότης	34856	42
ἔντεχνος	36239	42
αἴτημα	2755	42
στοιχέω	96939	42
κληρωτός	57896	42
ἐπιστροφεύς	41087	42
διανυκτερεύω	25419	42
ἐκκλησιαστικός	32178	42
ὀρχηστικός	75484	42
εὐκρασία	44303	42
πορνοβοσκός	85787	42
Ἀντίφιλος	nlsj2448	42
διχῶς	27723	42
εὐχρηστία	45512	42
φθαρτικός	110658	42
ἀνάδοσις	6469	42
ἀρχαιρέσια	nlsj26638	42
ὑπέρθεσις	107567	42
φωλεός	112813	42
Ἐλαίη	nlsj3093	42
πειρασμός	80348	42
δεκτός	23945	42
ἐξομολόγησις	37542	42
ἐξοχή	37666	42
ἡλιακός	46837	42
περιλάμπω	81636	42
ἀρρενικός	15463	42
νησίον	70754	42
κότος	59379	41
Χρυσηίς	nlsj11078	41
ἀνορούω	9291	41
ἀπείρων	11769	41
ἐγγυαλίζω	30008	41
ὠκύμορος	116118	41
Γερήνιος	21981	41
κατακοιμάω	54200	41
Ἀστέριος	nlsj2935	41
ἀλεγεινός	3925	41
λιλαίομαι	63270	41
αἴγειος	2125	41
ἀρωγός	16058	41
λαῖλαψ	61644	41
Ἔρις	nlsj1653	41
ἔλδομαι	33503	41
δούλιος	28169	41
ῥίμφα	92459	41
Μενοίτιος	nlsj7716	41
ἐντύνω	36350	41
ἀπόρθητος	13575	41
ἀπείρητος	11727	41
Πιερία	83060	41
ἀθύρω	2084	41
Εὔφορβος	nlsj5002	41
δοκόν	nlsj36516	41
κάλυξ	52883	41
Ἑωσφόρος	46046	41
ἐπισπέρχω	40932	41
αὔλειος	17409	41
ἱππεία	50694	41
Λευκοθέα	62668	41
Τιτυός	104100	41
μνήμων	68193	41
ἀπατήλιος	11608	41
πεῖνα	80331	41
Κύκνος	nlsj6736	41
Πάλλας	nlsj8386	41
Νύση	nlsj8289	41
ἄφθογγος	18311	41
Ἰωλκός	nlsj3619	41
δίαυλος	26170	41
θεοπρεπής	48273	41
κρυφαῖος	60260	41
τορός	104399	41
ταχύνω	102716	41
ἐκπράσσω	32741	41
ἄθικτος	2008	41
ἐξώλης	37736	41
φυλλάς	112573	41
παρηγορία	79539	41
ὁπλισμός	74540	41
ἑλέπολις	33599	41
κάθαρμα	51694	41
ἐξώτερος	nlsj41718	41
συμπονέω	98771	41
Ἀχελῷος	nlsj3032	41
Οἰνιάδη	nlsj8332	41
ἐξομοιόω	37538	41
ἔμπληκτος	34406	41
Ψαμμήτιχος	nlsj11094	41
Κυνός	nlsj6741	41
προαποθνήσκω	86641	41
ὑπανίσταμαι	106909	41
διηθέω	26766	41
ἐντίκτω	36245	41
οἰκοδόμος	nlsj80098	41
ἀκουστέον	3392	41
Ἄνδρος	nlsj1494	41
Πεισιστρατίδης	nlsj8721	41
σκιάζω	94828	41
κατάκλισις	54179	41
ὠθισμός	116074	41
πεζομαχία	80299	41
ἀπόπλοος	13459	41
Ποτιδαία	nlsj9132	41
Κῷος	61359	41
ἐξερευνάω	37173	41
ἀκουστός	3396	41
παράσημον	78736	41
συγκρύπτω	97926	41
κώθων	61208	41
ἐπίπροσθεν	40648	41
δυσθυμία	29085	41
Ἀνδροκλέης	nlsj2385	41
πρόγνωσις	86909	41
μανός	64936	41
πήρωσις	83016	41
πᾶσις	79920	41
ἐπικρίνω	39886	41
Ἀνδρόμαχος	nlsj2386	41
ἀδόκιμος	1439	41
γεωμετρέω	22061	41
διαπεραίνω	25494	41
πλωτήρ	nlsj87586	41
τέγη	102764	41
μετουσία	67214	41
Ξενοκλέης	nlsj4415	41
προυσσω	nlsj94818	41
ὁμηρεύω	73475	41
πανδοκεῖον	nlsj81441	41
ἀκάτιον	3041	41
διατείχισμα	26042	41
τείχισμα	102810	41
καινότης	51995	41
καθαίρεσις	51656	41
Ἀγόρατος	nlsj1974	41
συμπάσχω	98587	41
ἰσοσκελής	51153	41
κίναιδος	57439	41
Πολύγνωτος	nlsj9029	41
Δημοφῶν	24468	41
διακριβόω	25047	41
ῥητορεία	92369	41
ἀνδραποδώδης	7899	41
Κηφισόδοτος	nlsj6246	41
Εὔανδρος	nlsj4982	41
κατασιωπάω	55117	41
ἀκριβολογέομαι	3468	41
ψεῦσμα	115591	41
φαιός	110117	41
Ψυχή	nlsj11104	41
ἐλυτρόω	33922	41
Τιρίβαζος	nlsj10705	41
θεραπευτικός	48379	41
ψευδολογία	115516	41
ἀσύνδετος	16804	41
ἀντίθετος	9952	41
Ἐπιμενίδης	nlsj3215	41
ἀσπασμός	16360	41
διατροφή	26129	41
πτερύγιον	91156	41
Φυλομάχη	nlsj5603	41
παρέκβασις	79263	41
εὐεργετικός	43842	41
πάρισος	79629	41
ἀναφωνέω	7780	41
λεπρός	62469	41
ἐλαφρίζω	33482	41
πρόστιμον	90172	41
ἀνδραγαθέω	7874	41
παρασιωπάω	78747	41
Λεόντιον	nlsj7072	41
ἐλάττωσις	33455	41
ἀτενίζω	17012	41
περιτομεύς	82376	41
ἀφαίρεμα	18099	41
ψευδοπροφήτης	115553	41
διεκπίτνω	nlsj35203	41
ἅζομαι	1829	40
Ἑκάεργος	31578	40
μητίετα	67546	40
ἐπιπείθομαι	40466	40
Πολύφημος	nlsj9026	40
ἀτρύγετος	17229	40
ἀδάκρυτος	1138	40
ἐφετμή	45691	40
ὀμφή	73965	40
ἀσχαλάω	16900	40
Ἀνθηδών	nlsj2433	40
παραλέγω	78305	40
νέατος	69983	40
Κλυμένη	nlsj6413	40
πύξ	91518	40
ὀψίγονος	76315	40
ἴτυς	51407	40
τηλοῦ	103839	40
ἄφαντος	18138	40
ἐξανύω	36817	40
ἄμυδις	5570	40
ἀνέστιος	8517	40
Περσεφόνεια	nlsj8802	40
πεύθομαι	82816	40
ἐκθρῴσκω	32049	40
μενοινάω	66285	40
δράγμα	28243	40
ἀκμής	3245	40
κατέδω	55709	40
περιστρέφω	82284	40
ἐφήδομαι	45721	40
τηλίκος	103822	40
ἀπόμνυμι	13231	40
φαρμάσσω	110364	40
ἐξαγορεύω	36500	40
λευκαίνω	62618	40
Παρνασός	79657	40
Κέρβερος	56821	40
εὐφρόνη	45440	40
σύνδυο	99808	40
λῆμα	62897	40
ἀντλέω	10728	40
Ἀργώ	14902	40
ἴυγξ	51419	40
ὠκύτης	116140	40
ἀρχῆθεν	15901	40
ὠρύομαι	116397	40
συνεφάπτομαι	100478	40
βαφεύς	19682	40
εὐσταλής	45163	40
κολαστής	58565	40
Βῆλος	nlsj4194	40
πάνσοφος	77550	40
οἰκτίζω	72392	40
ἐπιτυχής	41474	40
συναινέω	99086	40
εὔτολμος	45309	40
προστρίβω	90190	40
ἄρνησις	15322	40
λίψ	63682	40
παραιτητής	78074	40
κυνηγετέω	60842	40
παραπαίω	78536	40
ἑδραῖος	30703	40
ἐπικουφίζω	39851	40
ἐκκηρύσσω	32158	40
Πάνορμος	77513	40
Καῦνος	nlsj6128	40
πυλίς	91495	40
ἀπόκρυφος	12968	40
στερίσκω	96582	40
παρόμοιος	79731	40
ἀποπίμπλημι	13422	40
ὀπίσθιος	74467	40
Ζώπυρος	nlsj11158	40
Ἀρίστεας	nlsj2702	40
στενότης	96507	40
ἐξαγωγή	nlsj40333	40
